时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,总氮,叶绿素,藻青蛋白
02/01/2011,12.00,7.14,271.00,20.80,5.52,2.36,0.07,0.69,4.08,3.10,602.00
02/02/2011,12.30,7.16,258.00,19.40,5.71,2.40,0.08,0.63,3.51,3.20,572.00
02/03/2011,12.70,7.13,271.00,17.10,5.35,2.52,0.08,0.69,3.88,3.10,543.00
02/04/2011,13.00,7.07,278.00,28.70,5.30,2.56,0.10,0.82,4.03,3.30,528.00
02/05/2011,13.70,7.06,274.00,11.70,5.17,2.65,0.11,0.99,4.23,3.90,539.00
02/06/2011,13.90,7.09,260.00,10.10,5.41,2.70,0.11,0.93,4.14,4.20,551.00
02/07/2011,14.00,7.11,250.00,11.50,5.61,2.89,0.11,0.86,3.86,4.70,571.00
02/08/2011,14.60,7.14,256.00,11.50,5.37,2.86,0.10,0.87,4.15,5.80,652.00
02/09/2011,14.70,7.17,250.00,11.80,5.47,2.74,0.09,0.85,3.80,6.00,666.00
02/10/2011,15.50,7.16,251.00,14.00,5.53,3.36,0.09,0.80,4.33,8.00,883.00
02/11/2011,15.20,7.20,277.00,10.00,5.27,3.29,0.09,0.75,4.62,7.80,772.00
02/12/2011,15.30,7.19,281.00,10.40,4.83,3.39,0.08,0.60,4.54,7.10,743.00
02/13/2011,14.90,7.20,270.00,8.30,5.79,2.94,0.07,0.48,4.46,5.80,627.00
02/14/2011,14.40,7.29,247.00,9.10,6.40,3.04,0.07,0.46,3.76,4.60,683.00
02/15/2011,14.00,7.45,222.00,44.20,6.91,3.01,0.09,0.30,3.19,3.90,616.00
02/16/2011,14.00,7.39,251.00,25.30,6.60,2.74,0.11,0.32,3.08,3.30,496.00
02/17/2011,14.10,7.29,257.00,13.60,6.70,2.88,0.12,0.41,3.02,4.50,438.00
02/18/2011,13.40,7.23,320.00,25.20,6.93,3.55,0.15,1.14,5.08,4.40,521.00
02/19/2011,13.10,7.11,345.00,20.30,6.69,3.71,0.19,1.40,6.96,4.20,483.00
02/20/2011,13.20,7.02,286.00,25.50,7.04,2.66,0.17,1.32,5.77,4.60,844.00
02/21/2011,13.60,7.04,317.00,18.20,6.84,2.96,0.17,1.77,6.59,3.30,1000.00
02/22/2011,14.10,7.05,283.00,15.40,7.39,1.50,0.15,1.46,5.07,3.00,895.00
02/23/2011,14.60,7.01,215.00,18.00,7.27,1.88,0.13,1.21,2.65,5.30,804.00
02/24/2011,14.60,7.02,231.00,18.70,7.08,2.52,0.15,1.10,2.71,3.00,930.00
02/25/2011,15.40,6.98,214.00,14.50,6.98,2.40,0.17,1.04,3.82,3.10,844.00
02/26/2011,16.40,7.00,165.00,16.00,7.58,1.27,0.13,0.45,1.87,3.00,837.00
02/27/2011,16.70,7.06,155.00,23.10,7.33,4.19,0.12,0.34,2.43,3.10,968.00
02/28/2011,17.50,7.08,167.00,20.40,7.32,2.78,0.12,0.41,2.83,3.10,924.00
03/01/2011,17.60,7.09,167.00,20.40,7.14,3.25,0.15,0.35,2.81,3.20,870.00
03/02/2011,17.70,7.15,171.00,13.30,6.84,2.82,0.11,0.30,2.80,3.50,834.00
03/03/2011,17.60,7.20,169.00,11.30,6.57,2.73,0.10,0.24,2.52,4.10,936.00
03/04/2011,17.10,7.25,164.00,15.80,6.33,2.79,0.09,0.20,2.64,3.90,977.00
03/05/2011,17.20,7.28,160.00,14.20,6.09,2.77,0.08,0.16,2.46,3.90,979.00
03/06/2011,17.60,7.25,165.00,14.20,6.30,2.81,0.07,0.15,2.38,4.70,1101.00
03/07/2011,17.20,7.24,201.00,10.50,6.66,2.91,0.06,0.27,2.87,4.60,1043.00
03/08/2011,17.40,7.21,215.00,8.90,6.51,3.19,0.05,0.31,3.19,7.40,1730.00
03/09/2011,16.90,7.23,214.00,10.90,7.15,2.51,0.05,0.36,3.23,5.80,1341.00
03/10/2011,16.30,7.19,235.00,9.80,7.04,2.72,0.06,0.51,4.00,6.30,1544.00
03/11/2011,15.90,7.18,247.00,9.10,6.83,2.98,0.07,0.66,4.41,6.50,1438.00
03/12/2011,16.20,7.11,255.00,8.40,6.73,3.11,0.09,0.83,4.63,5.30,1211.00
03/13/2011,17.20,7.00,273.00,8.10,7.19,3.14,0.08,1.09,5.06,4.20,1036.00
03/14/2011,17.10,6.97,270.00,7.50,7.69,2.67,0.07,0.91,4.46,4.00,955.00
03/15/2011,16.60,7.06,245.00,10.00,7.39,2.29,0.07,0.70,4.21,4.20,949.00
03/16/2011,16.10,7.16,229.00,9.50,6.75,1.92,0.08,0.72,4.16,3.60,828.00
03/17/2011,16.50,7.20,228.00,9.20,6.58,1.79,0.08,0.74,4.39,4.30,887.00
03/18/2011,16.40,7.20,233.00,8.40,6.90,1.73,0.08,0.76,4.55,4.30,903.00
03/19/2011,16.50,7.18,237.00,12.00,6.29,2.29,0.08,0.77,4.66,3.40,760.00
03/20/2011,16.00,7.13,211.00,43.30,6.44,2.39,0.11,0.67,3.89,3.20,1405.00
03/21/2011,16.40,7.09,228.00,70.00,6.85,2.73,0.15,1.19,4.70,4.10,1955.00
03/22/2011,17.10,7.22,268.00,67.00,7.25,2.20,0.15,1.42,5.60,4.20,1627.00
03/23/2011,16.60,7.17,310.00,28.90,6.34,2.77,0.16,1.81,6.97,3.80,1261.00
03/24/2011,16.70,7.09,267.00,32.40,6.10,2.59,0.15,1.56,6.23,3.00,1234.00
03/25/2011,15.90,7.04,216.00,37.50,6.29,2.41,0.16,1.17,5.36,2.70,1297.00
03/26/2011,15.50,6.97,170.00,23.00,6.44,1.88,0.13,0.78,4.27,2.80,999.00
03/27/2011,15.00,7.11,126.00,22.10,6.58,1.33,0.10,0.32,2.74,2.80,997.00
03/28/2011,15.60,7.06,133.00,19.70,6.52,2.17,0.11,0.42,3.08,2.80,912.00
03/29/2011,15.50,6.97,139.00,16.40,6.72,2.47,0.09,0.52,3.21,3.30,901.00
03/30/2011,15.80,6.97,141.00,16.80,6.75,2.60,0.08,0.40,2.98,3.50,888.00
03/31/2011,16.50,6.97,138.00,14.80,6.70,2.66,0.08,0.36,2.68,3.50,864.00
04/01/2011,17.10,6.99,141.00,14.70,6.98,2.58,0.08,0.33,2.66,3.90,914.00
04/02/2011,17.80,6.96,145.00,11.90,7.26,3.11,0.07,0.34,2.70,4.80,941.00
04/03/2011,18.30,6.98,154.00,11.50,6.94,3.23,0.07,0.39,2.99,6.50,1152.00
04/04/2011,17.80,7.02,161.00,11.30,6.71,3.58,0.08,0.41,3.32,6.60,1138.00
04/05/2011,18.00,7.04,165.00,13.00,6.34,4.22,0.07,0.36,3.30,6.70,1301.00
04/06/2011,18.70,7.07,166.00,10.20,6.57,2.20,0.07,0.33,3.08,7.20,1322.00
04/07/2011,18.90,7.09,154.00,14.00,6.75,2.04,0.06,0.25,2.52,7.40,1427.00
04/08/2011,18.70,7.11,140.00,23.40,6.75,1.48,0.06,0.21,2.05,6.70,1481.00
04/09/2011,19.30,7.10,135.00,10.50,7.12,1.88,0.06,0.13,1.92,16.30,2965.00
04/10/2011,20.20,7.37,134.00,49.40,6.86,2.55,0.07,0.07,2.22,37.20,6683.00
04/11/2011,19.80,7.29,172.00,8.80,6.73,2.30,0.07,0.28,1.83,18.30,3403.00
04/12/2011,19.90,7.17,183.00,6.60,6.38,2.71,0.07,0.35,2.02,10.00,1765.00
04/13/2011,20.80,7.18,202.00,6.30,6.13,3.00,0.06,0.46,3.80,13.20,2506.00
04/14/2011,21.50,7.16,229.00,7.20,6.01,3.49,0.06,0.57,4.43,13.60,2534.00
04/15/2011,22.40,7.33,228.00,34.40,6.17,4.51,0.06,0.42,4.42,28.20,5665.00
04/16/2011,23.10,7.61,229.00,65.20,6.17,5.71,0.07,0.24,4.23,63.90,9450.00
04/17/2011,21.40,7.35,218.00,6.60,6.00,3.67,0.07,0.32,2.90,11.80,2007.00
04/18/2011,21.90,7.18,219.00,7.90,5.72,2.95,0.07,0.43,3.32,7.40,1338.00
04/19/2011,22.00,7.21,230.00,13.40,5.56,3.07,0.08,0.51,3.54,6.40,1218.00
04/20/2011,22.40,7.21,237.00,15.20,5.69,3.56,0.08,0.59,3.71,6.90,1574.00
04/21/2011,22.50,7.21,234.00,14.20,5.62,3.89,0.09,0.58,3.75,6.90,1447.00
04/22/2011,22.00,7.21,223.00,11.50,5.64,3.84,0.09,0.51,3.57,10.70,2183.00
04/23/2011,22.10,7.21,209.00,10.00,5.51,3.16,0.07,0.38,2.73,7.00,1376.00
04/24/2011,22.10,7.22,218.00,9.00,5.37,3.65,0.07,0.39,2.94,7.30,1230.00
04/25/2011,22.50,7.23,239.00,7.90,5.45,4.11,0.06,0.38,3.69,14.40,2064.00
04/26/2011,23.50,7.47,255.00,15.10,5.62,4.56,0.07,0.24,4.40,46.70,6447.00
04/27/2011,23.60,7.43,283.00,9.70,5.54,4.11,0.07,0.36,4.21,41.60,4854.00
04/28/2011,23.30,7.31,289.00,7.60,5.44,3.61,0.06,0.39,4.35,28.00,3478.00
04/29/2011,23.10,7.29,284.00,6.60,5.22,3.26,0.05,0.37,3.87,21.50,2948.00
04/30/2011,23.00,7.26,263.00,6.10,5.17,3.30,0.05,0.29,3.68,15.60,2275.00
05/01/2011,22.80,7.22,249.00,7.90,5.15,3.42,0.05,0.26,2.95,11.40,1646.00
05/02/2011,23.00,7.17,213.00,17.70,5.09,3.02,0.06,0.32,2.91,8.70,1081.00
05/03/2011,22.50,7.07,225.00,27.70,5.17,3.05,0.06,0.38,3.14,5.50,1413.00
05/04/2011,21.30,7.17,222.00,360.80,5.19,5.09,0.24,0.83,4.18,3.80,6220.00
05/05/2011,20.90,6.96,278.00,311.10,5.11,5.35,0.28,1.78,6.40,4.50,5672.00
05/06/2011,20.80,6.89,207.00,125.20,5.21,4.45,0.20,1.60,5.68,3.40,2847.00
05/07/2011,20.80,6.89,177.00,99.60,5.45,3.39,0.17,1.14,4.45,2.70,2351.00
05/08/2011,21.20,6.91,166.00,80.10,5.35,3.23,0.16,0.78,3.73,2.50,2014.00
05/09/2011,22.20,6.90,164.00,56.30,5.27,3.09,0.16,0.67,3.52,2.50,1527.00
05/10/2011,22.60,6.91,158.00,45.90,5.16,2.75,0.14,0.55,2.90,2.50,1310.00
05/11/2011,23.90,6.89,179.00,26.90,4.14,3.06,0.14,0.93,3.88,5.10,924.00
05/12/2011,23.90,6.84,189.00,25.90,4.02,2.90,0.14,0.47,3.11,2.60,878.00
05/13/2011,23.70,6.98,170.00,211.60,5.46,3.81,0.20,0.32,2.87,3.00,3488.00
05/14/2011,21.70,7.03,159.00,1101.50,7.54,8.67,0.47,0.83,4.27,4.70,14909.00
05/15/2011,20.70,7.10,128.00,515.60,8.11,5.97,0.36,0.44,2.72,2.80,7418.00
05/16/2011,20.30,7.05,115.00,591.80,8.51,6.01,0.35,0.36,2.14,3.20,9642.00
05/17/2011,20.40,7.00,109.00,1069.00,8.62,5.25,0.43,0.34,2.07,3.10,13849.00
05/18/2011,20.90,6.96,106.00,311.20,8.30,4.50,0.25,0.19,1.37,2.20,5087.00
05/19/2011,21.40,6.84,109.00,118.60,7.66,2.98,0.14,0.15,1.14,2.00,2480.00
05/20/2011,22.00,6.54,123.00,84.70,7.09,2.65,0.11,0.26,1.28,2.10,1966.00
05/21/2011,22.70,6.79,120.00,78.60,6.65,2.80,0.10,0.20,1.02,2.20,1901.00
05/22/2011,22.80,6.97,119.00,73.80,6.52,2.75,0.10,0.11,0.96,2.30,1825.00
05/23/2011,22.70,6.92,137.00,64.90,6.07,2.47,0.09,0.18,1.29,2.40,1622.00
05/24/2011,21.90,6.70,140.00,58.50,6.06,1.60,0.09,0.21,1.51,2.30,1524.00
05/25/2011,21.90,6.49,135.00,55.40,6.10,2.12,0.09,0.08,1.30,2.40,1451.00
05/26/2011,21.90,6.68,131.00,59.10,6.10,2.17,0.09,0.08,1.14,2.30,1468.00
05/27/2011,22.30,7.00,194.00,42.40,5.32,2.04,0.08,0.41,2.26,2.50,1155.00
05/28/2011,23.20,7.00,212.00,37.40,5.17,2.14,0.09,0.39,2.39,3.00,1147.00
05/29/2011,23.30,7.05,184.00,33.10,5.40,2.08,0.08,0.21,1.97,3.20,1181.00
05/30/2011,24.10,7.11,162.00,34.20,5.91,2.03,0.08,0.08,1.47,4.10,1293.00
05/31/2011,24.20,7.05,192.00,27.00,5.52,1.90,0.07,0.22,2.20,4.90,1269.00
06/01/2011,25.00,7.08,176.00,22.00,6.19,2.10,0.07,0.09,1.81,7.20,1883.00
06/02/2011,24.80,7.11,179.00,21.80,5.70,1.83,0.07,0.16,2.02,5.90,1345.00
06/03/2011,24.80,7.09,156.00,23.30,5.83,1.88,0.07,0.07,1.64,6.00,1388.00
06/04/2011,25.40,7.12,150.00,20.10,6.13,2.11,0.06,,1.29,6.20,1314.00
06/05/2011,25.80,7.16,178.00,14.00,5.99,2.37,0.06,0.17,1.74,6.40,1343.00
06/06/2011,25.80,7.11,193.00,14.10,5.51,2.31,0.06,0.21,2.08,6.60,1205.00
06/07/2011,26.20,7.11,198.00,14.40,5.66,2.33,0.06,0.11,2.04,7.00,1276.00
06/08/2011,26.20,7.15,198.00,17.80,5.44,2.35,0.07,0.14,1.96,6.00,1156.00
06/09/2011,26.90,7.18,206.00,22.50,5.42,1.99,0.07,0.13,1.96,5.90,1230.00
06/10/2011,26.00,7.18,177.00,32.40,5.32,2.07,0.09,0.17,1.85,5.30,1283.00
06/11/2011,25.60,7.17,171.00,28.80,5.34,2.00,0.09,0.16,1.77,4.70,1105.00
06/12/2011,25.00,7.10,177.00,84.40,6.13,2.56,0.14,0.21,2.18,4.40,1940.00
06/13/2011,24.80,7.13,244.00,717.80,5.24,5.67,0.35,1.21,4.81,4.50,8820.00
06/14/2011,24.70,7.23,199.00,744.40,4.74,4.77,0.33,0.83,3.67,2.90,9465.00
06/15/2011,25.00,7.14,159.00,387.20,5.19,3.21,0.29,0.41,2.38,2.60,5867.00
06/16/2011,25.30,7.11,165.00,202.60,5.04,2.48,0.19,0.26,2.06,2.40,3584.00
06/17/2011,25.60,7.10,198.00,102.00,4.66,2.88,0.14,0.43,2.71,3.10,2273.00
06/18/2011,26.70,7.04,186.00,53.40,4.95,2.19,0.11,0.22,2.09,3.50,1608.00
06/19/2011,27.20,7.13,204.00,40.50,5.11,2.35,0.09,0.14,1.90,4.20,1508.00
06/20/2011,28.10,7.21,220.00,28.20,5.52,2.53,0.08,0.14,1.95,5.70,1482.00
06/21/2011,28.10,7.24,237.00,21.10,5.56,2.97,0.07,0.25,2.48,9.90,2062.00
06/22/2011,27.60,7.27,215.00,28.50,5.15,2.68,0.08,0.07,2.09,7.40,1611.00
06/23/2011,27.90,7.23,204.00,37.80,5.80,2.77,0.09,0.09,1.82,7.60,1805.00
06/24/2011,28.60,7.17,230.00,26.10,5.61,2.78,0.07,0.18,2.14,7.30,1610.00
06/25/2011,28.30,7.21,266.00,21.70,5.62,2.26,0.06,0.17,2.89,8.10,1702.00
06/26/2011,28.50,7.14,273.00,21.20,4.86,2.69,0.06,0.27,3.32,7.00,1489.00
06/27/2011,28.80,7.17,240.00,23.80,5.33,2.51,0.07,0.15,2.64,6.60,1565.00
06/28/2011,28.20,7.13,235.00,31.20,4.89,1.78,0.07,0.09,2.23,5.90,1575.00
06/29/2011,27.50,7.27,199.00,162.90,6.07,1.50,0.15,,1.78,4.70,4288.00
06/30/2011,26.90,7.28,167.00,172.40,6.14,2.44,0.17,0.09,1.43,3.90,4593.00
07/01/2011,27.70,7.28,198.00,58.10,6.51,2.44,0.11,0.06,1.68,5.20,2314.00
07/02/2011,29.00,7.36,200.00,34.70,7.42,2.84,0.08,0.11,1.42,9.30,2481.00
07/03/2011,28.70,7.39,217.00,28.40,6.82,2.77,0.08,0.13,1.69,9.70,2328.00
07/04/2011,28.50,7.30,204.00,28.30,6.13,2.32,0.07,0.05,1.41,7.20,1843.00
07/05/2011,29.50,7.27,205.00,27.00,6.95,2.62,0.08,,1.38,7.60,2059.00
07/06/2011,29.60,7.26,219.00,20.70,6.31,2.72,0.08,0.10,1.77,7.70,2117.00
07/07/2011,29.90,7.27,221.00,15.00,6.50,3.00,0.08,0.06,1.92,9.30,2260.00
07/08/2011,30.10,7.27,221.00,12.90,5.90,2.74,0.07,,1.80,7.00,1622.00
07/09/2011,30.10,7.31,225.00,13.30,5.86,2.69,0.07,,1.74,6.70,1721.00
07/10/2011,29.90,7.30,218.00,17.70,5.58,1.52,0.07,,1.73,6.60,1822.00
07/11/2011,29.70,7.24,221.00,49.10,4.62,1.90,0.09,0.10,1.68,4.20,2239.00
07/12/2011,29.20,7.18,208.00,33.20,4.55,2.02,0.08,0.14,1.72,4.40,1843.00
07/13/2011,28.80,7.21,195.00,73.10,4.86,2.22,0.11,0.12,1.64,4.60,2967.00
07/14/2011,28.60,7.26,181.00,88.90,5.05,2.33,0.12,0.07,1.44,4.50,3601.00
07/15/2011,28.40,7.29,221.00,38.00,4.62,2.23,0.09,0.08,1.93,4.40,2300.00
07/16/2011,28.30,7.34,259.00,33.80,4.52,2.27,0.10,0.14,2.42,4.90,2271.00
07/17/2011,27.20,7.25,210.00,70.60,5.16,2.32,0.12,0.27,3.18,4.80,3491.00
07/18/2011,26.40,7.29,161.00,168.20,7.05,3.00,0.16,0.13,2.07,3.60,6585.00
07/19/2011,26.70,7.21,176.00,77.00,5.95,2.20,0.15,0.19,2.11,3.30,3987.00
07/20/2011,26.30,7.10,172.00,124.20,6.06,2.61,0.16,0.31,2.45,3.00,5587.00
07/21/2011,26.60,7.13,159.00,126.90,5.42,3.06,0.15,0.21,2.05,2.80,6097.00
07/22/2011,27.40,7.15,161.00,82.60,6.34,2.63,0.13,0.30,2.22,2.90,4768.00
07/23/2011,27.40,7.07,155.00,68.60,4.67,2.32,0.12,0.28,2.11,3.20,4353.00
07/24/2011,28.30,7.08,152.00,47.90,6.14,2.30,0.10,0.11,1.84,4.20,3652.00
07/25/2011,28.50,7.16,154.00,40.50,7.23,2.18,0.08,,1.41,5.00,3380.00
07/26/2011,28.50,7.21,163.00,78.70,6.85,2.07,0.11,,1.50,4.20,4404.00
07/27/2011,28.70,7.17,176.00,28.50,6.51,1.62,0.08,0.05,1.64,4.50,2820.00
07/28/2011,29.20,7.17,189.00,23.10,6.81,2.04,0.07,0.06,1.73,5.10,2634.00
07/29/2011,29.50,7.29,188.00,20.40,6.36,1.87,0.07,,1.60,5.70,2579.00
07/30/2011,29.60,7.37,196.00,25.50,5.75,1.77,0.08,,1.70,5.10,2619.00
07/31/2011,29.40,7.40,184.00,22.80,6.01,1.77,0.07,,1.56,4.80,2516.00
08/01/2011,29.40,7.37,194.00,24.10,5.73,1.83,0.07,,1.56,4.10,2430.00
08/02/2011,29.70,7.33,206.00,25.30,5.49,1.92,0.08,0.05,1.75,4.40,2391.00
08/03/2011,29.70,7.32,202.00,30.10,5.51,1.92,0.08,,1.64,4.60,2540.00
08/04/2011,29.40,7.13,187.00,60.50,5.67,2.07,0.10,0.13,1.47,4.30,3540.00
08/05/2011,29.80,5.18,137.00,46.60,6.19,1.90,0.09,0.06,1.48,3.40,3077.00
08/06/2011,24.90,4.91,122.00,28.30,5.48,1.63,0.08,0.09,1.34,2.40,1645.00
08/07/2011,29.80,6.95,208.00,29.80,5.50,1.78,0.08,0.19,1.61,3.90,2451.00
08/08/2011,30.10,6.87,222.00,22.50,6.23,1.75,0.08,0.12,1.82,4.80,2216.00
08/09/2011,29.10,7.05,226.00,29.30,5.13,1.82,0.08,0.19,2.25,3.90,2301.00
08/10/2011,29.00,7.08,216.00,28.70,5.28,1.71,0.09,0.17,2.25,5.00,2278.00
08/11/2011,29.30,7.12,206.00,28.10,5.71,1.62,0.09,0.06,1.96,4.70,2202.00
08/12/2011,29.30,7.12,212.00,27.00,5.43,1.70,0.09,,2.01,4.70,2151.00
08/13/2011,29.50,7.16,211.00,20.80,5.80,1.47,0.09,,1.92,5.20,2021.00
08/14/2011,29.50,7.20,216.00,18.20,5.93,1.44,0.08,0.06,1.91,6.10,1961.00
08/15/2011,30.00,7.23,203.00,16.80,7.25,1.87,0.07,0.08,1.39,7.00,1977.00
08/16/2011,30.50,7.24,207.00,14.80,7.52,2.66,0.06,0.11,2.21,7.00,1923.00
08/17/2011,30.80,7.29,214.00,12.40,8.38,2.57,0.06,0.17,3.10,8.00,2025.00
08/18/2011,30.90,7.33,225.00,14.00,8.38,2.47,0.06,0.16,2.68,7.30,1996.00
08/19/2011,29.60,7.27,226.00,12.60,5.26,1.88,0.06,0.12,2.61,4.40,1823.00
08/20/2011,29.80,7.18,223.00,13.80,5.24,1.73,0.07,0.12,2.54,4.70,1898.00
08/21/2011,30.60,7.20,226.00,15.60,6.97,2.01,0.06,0.11,2.41,5.80,2004.00
08/22/2011,29.90,7.23,222.00,14.20,6.56,1.94,0.06,0.10,2.28,5.70,2037.00
08/23/2011,29.90,7.22,215.00,15.00,6.84,1.95,0.06,0.11,2.17,5.60,2088.00
08/24/2011,29.70,7.27,213.00,16.90,6.95,1.87,0.06,0.09,2.14,4.60,2257.00
08/25/2011,29.40,7.21,224.00,21.60,6.18,1.74,0.06,0.16,2.23,4.70,2481.00
08/26/2011,29.40,7.15,217.00,32.50,6.36,1.94,0.08,0.20,2.25,5.10,3057.00
08/27/2011,29.40,7.13,228.00,27.50,6.18,1.80,0.06,0.25,2.76,5.80,3090.00
08/28/2011,29.50,7.14,254.00,23.10,6.10,1.64,,0.33,4.23,6.10,3404.00
08/29/2011,28.60,6.98,274.00,24.20,5.33,1.81,,0.35,4.96,4.30,3916.00
08/30/2011,27.90,6.86,275.00,40.40,4.58,2.13,0.06,0.57,5.09,5.20,5980.00
08/31/2011,26.40,6.86,182.00,69.60,5.72,2.17,0.17,0.33,3.25,7.20,4622.00
09/01/2011,25.30,6.65,123.00,59.60,6.04,2.15,0.14,0.24,2.29,9.30,4505.00
09/02/2011,26.00,6.67,152.00,38.10,5.33,1.94,0.14,0.15,2.57,10.40,3692.00
09/03/2011,26.20,6.60,172.00,29.90,4.88,1.98,0.13,0.40,3.23,15.20,3367.00
09/04/2011,26.70,6.57,194.00,27.10,4.30,1.97,0.13,0.46,3.89,25.40,3364.00
09/05/2011,27.10,6.60,208.00,21.70,4.38,2.01,0.14,0.28,3.90,16.70,3159.00
09/06/2011,26.60,6.60,201.00,31.70,4.12,2.04,0.15,0.24,3.90,13.50,3172.00
09/07/2011,27.30,6.61,195.00,32.20,5.01,2.04,0.14,0.19,3.78,16.40,3282.00
09/08/2011,27.20,6.61,191.00,29.20,5.04,1.42,0.12,0.07,3.21,20.90,3209.00
09/09/2011,27.60,6.54,194.00,70.30,4.62,1.66,0.11,0.17,3.32,31.40,3436.00
09/10/2011,28.20,6.57,191.00,80.00,4.68,1.72,0.10,0.11,3.06,39.00,3302.00
09/11/2011,28.10,6.62,179.00,116.00,4.82,1.65,0.10,0.06,2.67,41.30,3557.00
09/12/2011,28.40,6.51,214.00,138.50,4.11,1.79,0.09,0.34,3.73,26.60,3544.00
09/13/2011,28.60,6.59,208.00,141.80,4.71,1.76,0.10,0.14,1.34,21.70,3116.00
09/14/2011,28.40,6.60,224.00,118.90,4.40,1.82,0.11,0.19,2.43,9.30,2297.00
09/15/2011,28.30,6.61,216.00,113.30,4.47,1.68,0.11,0.15,3.75,14.60,1585.00
09/16/2011,28.40,6.49,211.00,132.60,3.96,2.02,0.11,0.30,4.12,18.80,1368.00
09/17/2011,28.60,6.45,198.00,116.80,4.06,2.13,0.10,0.24,2.85,30.70,1058.00
09/18/2011,28.80,6.52,182.00,115.90,5.03,1.96,0.09,0.08,1.76,35.90,919.00
09/19/2011,28.50,6.54,183.00,69.40,4.69,2.43,0.08,0.11,3.16,24.10,879.00
09/20/2011,27.80,6.51,181.00,27.40,4.49,2.42,0.10,0.15,3.28,14.70,988.00
09/21/2011,27.20,6.26,198.00,20.10,4.21,2.33,0.08,0.28,3.91,9.40,837.00
09/22/2011,26.70,6.31,220.00,21.20,4.39,2.49,0.08,0.34,4.21,3.10,1147.00
09/23/2011,26.30,6.48,214.00,20.20,5.05,2.39,0.09,0.11,3.51,3.40,1154.00
09/24/2011,19.70,4.65,163.00,13.90,3.99,1.97,0.06,0.08,2.48,3.60,902.00
09/25/2011,26.00,6.00,227.00,38.60,5.25,2.34,0.08,0.06,3.02,5.20,1252.00
09/26/2011,26.10,6.53,225.00,78.00,5.53,2.29,0.07,,2.77,3.60,1238.00
