时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,总氮,叶绿素
01/29/2011,13.5,7.31,285,16.4,6.82,3.13,0.17,2.71,5.32,3.5
01/30/2011,13.5,7.23,240,16.2,6.98,3.1,0.15,1.9,4.77,3.2
01/31/2011,13.3,7.26,264,15.4,7.47,3.14,0.15,2.29,5,3.1
02/01/2011,13.3,7.2,280,14.9,7.22,3.23,0.14,2.41,5.7,3.5
02/02/2011,13.5,7.21,273,14.8,7.55,3.25,0.13,2.4,5.39,3.2
02/03/2011,13.8,7.15,242,14.2,9.52,3.02,0.12,1.92,2.91,4.5
02/04/2011,14,7.14,256,14.5,9.6,3.13,0.13,2.33,0.94,5
02/05/2011,14.4,7.1,216,14,9.61,3,0.12,1.65,4.58,4.6
02/06/2011,14.7,7.04,220,14.1,9.02,3.09,0.13,1.48,4.75,5.1
02/07/2011,14.7,7.09,169,13.9,9.08,2.95,0.11,0.94,2.01,3.4
02/08/2011,15.1,7.18,174,17.1,9.3,2.89,0.11,0.87,3.5,4.1
02/09/2011,15.3,7.27,200,14,9.6,2.88,0.11,1.14,4.05,5.6
02/10/2011,15.7,7.27,285,13.8,8.95,2.99,0.14,1.97,5.27,9.3
02/11/2011,15.4,7.44,450,14.6,8.49,3.41,0.21,4.49,8.59,8.8
02/12/2011,15.5,7.5,484,14.1,8.89,3.62,0.25,5.76,9.32,8.3
02/13/2011,15.1,7.5,528,14.3,8.29,3.74,0.29,6.8,10.53,6.7
02/14/2011,14.7,7.49,534,14.4,8.62,3.81,0.31,7.29,10.65,7.2
02/15/2011,14.3,7.51,555,14.2,8.56,4.16,0.33,8.14,10.64,6.7
02/16/2011,13.7,7.29,298,14.8,7.6,3.99,0.25,3.79,5.61,5.2
02/17/2011,13.6,7.31,397,15.6,7.64,4.87,0.25,5.41,7.4,4.6
02/18/2011,13.8,7.3,346,14.6,8.29,3.78,0.28,4.92,6.79,2.8
02/19/2011,13.6,7.2,257,13.7,8.26,3.49,0.21,3.74,5.5,2.4
02/20/2011,11.4,6.03,209,11.7,6.49,3.36,0.21,3.47,4.78,2.2
02/21/2011,13.7,7.23,282,15.4,7.23,3.56,0.3,4.42,5.54,2.3
02/22/2011,14.5,7.08,166,14.1,8.32,2.83,0.18,1.86,3.72,2.1
02/23/2011,14.6,7.11,102,14.3,8.83,2.13,0.14,0.55,1.78,1.8
02/24/2011,14.6,7.09,151,14.5,7.74,2.54,0.17,1.15,3.08,2.3
02/25/2011,14.8,7.08,142,15.5,7.87,2.3,0.16,0.96,2.62,1.6
02/26/2011,15.6,7.15,137,15.1,8.07,1.99,0.15,0.8,1.72,1.9
02/27/2011,16,7.16,112,15.5,8.49,2.04,0.13,0.5,1.93,1.6
02/28/2011,13.3,5.86,185,11.8,5.86,2.7,0.22,1.84,4.06,4.1
03/01/2011,13.5,5.82,172,12.1,5.93,2.76,0.21,1.69,2.85,3.9
03/02/2011,17.1,7.22,218,15.4,7.82,3.22,0.19,1.45,4.04,6.6
03/03/2011,14.4,6.18,244,12.6,6.09,3.59,0.24,2.13,4.95,11.2
03/04/2011,16.5,7.42,274,15.3,6.95,3.34,0.24,1.97,0.05,8.7
03/05/2011,16.1,7.37,253,15.4,7.08,3.31,0.19,1.78,0.05,4.5
03/06/2011,16.5,7.45,342,14.3,6.56,3.49,0.24,2.83,1.77,6.6
03/07/2011,16.2,7.41,266,17.9,6.87,3,0.18,1.88,3.96,4.4
03/08/2011,16.5,7.44,264,15.3,6.89,2.7,0.19,1.84,4.07,5.6
03/09/2011,16.1,7.42,269,16.7,6.89,2.94,0.2,1.82,4.15,5.4
03/10/2011,15.6,7.4,239,15.7,7.18,2.98,0.18,1.59,4.37,4.4
03/11/2011,14.7,7.27,183,15.3,7.52,2.74,0.12,1.13,2.93,2.7
03/12/2011,14.7,7.28,216,15.1,7.1,3,0.13,1.52,4.33,2
03/13/2011,15.5,7.29,246,15.8,6.63,2.93,0.15,1.94,5,2
03/14/2011,16.4,7.31,265,26.9,6.19,2.98,0.15,2.07,5.62,2
03/15/2011,16.6,7.25,237,24.9,6.17,7.83,0.15,1.64,4.56,1.8
03/16/2011,15.9,7.24,217,14.6,6.54,2.71,0.13,1.68,4.3,2.1
03/17/2011,15.7,7.2,228,15.2,6.61,2.63,0.13,1.75,4.69,2.6
03/18/2011,15.5,7.13,197,15,6.71,2.5,0.12,1.4,3.86,2.2
03/19/2011,15.3,7.21,289,14.3,6.24,2.77,0.15,2.58,5.89,2.4
03/20/2011,16.6,7.7,522,20.6,7.1,3.4,0.41,6.6,10.77,4
03/21/2011,16.9,7.58,419,17.2,6.98,3.11,0.36,4.38,9.55,2.1
03/22/2011,16.7,7.44,301,16.3,6.57,2.27,0.29,3.42,7.41,1.9
03/23/2011,15.6,7.32,186,16.4,6.9,1.67,0.22,2.17,4.7,2.5
03/24/2011,14.8,7.2,114,15.3,7.73,1.57,0.14,1.34,2.63,1.2
03/25/2011,13.4,6.38,105,14.1,6.77,1.71,0.12,1.16,2.54,1.5
03/26/2011,15.1,7.12,133,15.2,7.24,1.92,0.12,1.17,3.27,2.6
03/27/2011,14.8,7.1,119,15.8,7.33,1.85,0.11,0.72,2.58,1.1
03/28/2011,15.1,7.11,121,15.6,7.09,1.92,0.1,0.68,2.85,1
03/29/2011,15.5,7.15,127,15.4,7.26,1.9,0.1,0.63,2.59,1.5
03/30/2011,15.8,7.23,138,15.2,7.93,2.04,0.11,0.73,2.7,1.8
03/31/2011,15.8,7.21,161,15.2,7.67,2.13,0.12,1,3.25,1.7
04/01/2011,16,7.2,160,15.5,7.65,2.23,0.11,0.91,3.02,2.2
04/02/2011,16.4,7.17,106,15.5,8.45,2.08,0.07,0.29,1.98,1.9
04/03/2011,16.6,7.14,73,15.1,8.74,2.06,0.06,1.56,1.21,1.5
04/04/2011,16.3,7.11,76,15.1,8.62,2.14,0.06,0.29,1.47,3.1
04/05/2011,16,7.14,143,14.8,7.83,2.3,0.08,0.98,2.85,1.9
04/06/2011,16.4,7.12,160,14.9,7.01,2.46,0.09,0.66,3.33,1.2
04/07/2011,17.3,7.26,197,15,7.61,2.63,0.09,1.21,4.25,2.8
04/08/2011,18.1,7.3,287,15.4,7.16,3.17,0.09,2.24,6.38,2.6
04/09/2011,18.5,7.2,248,14.3,6.67,2.78,0.09,1.43,5.07,1.5
04/10/2011,18.9,7.17,246,14.6,6.07,2.75,0.1,1.3,5.11,1.1
04/11/2011,18.8,7.07,215,15.1,5.28,2.48,0.1,0.96,4.96,1
04/12/2011,18.4,7.1,191,15.4,6.44,2.37,0.09,0.76,3.96,1.7
04/13/2011,18.7,7.17,231,14.3,7.48,2.63,0.11,1.19,4.89,2.4
04/14/2011,19.5,7.14,247,14.6,7.24,2.84,0.12,1.42,5.13,1.9
04/15/2011,19.9,7.15,270,15.4,7.17,3.04,0.13,1.72,5.66,1.9
04/16/2011,19.8,7.06,213,16.5,7.42,2.92,0.12,0.94,4.3,1.8
04/17/2011,19.3,7.03,193,14.2,7.03,2.47,0.11,0.61,3.83,1.6
04/18/2011,20,7.1,264,14.9,5.71,2.89,0.14,1.31,5.15,1.5
04/19/2011,20.4,7.25,322,15.6,5.83,3.03,0.17,1.96,6.2,1.8
04/20/2011,20.7,7.32,353,15.9,6.43,3.09,0.18,2.22,6.44,2.9
04/21/2011,20.8,7.29,337,15.8,7.03,2.88,0.16,2.05,6.42,3.5
04/22/2011,19.9,7.15,271,14.4,6.82,2.61,0.13,1.5,4.36,3.4
04/23/2011,19.6,7.03,208,15.1,6.78,2.26,0.11,0.89,3.07,2.3
04/24/2011,19.5,7.05,221,14.4,6.9,2.62,0.11,0.9,4.35,2.3
04/25/2011,20,7.07,219,14.8,7.37,2.9,0.12,0.8,4.41,2.4
04/26/2011,20.2,7.08,216,15,6.38,2.77,0.11,0.7,3.3,2.3
04/27/2011,20.5,7.06,218,15.4,5.2,2.64,0.11,0.83,4.4,1.7
04/28/2011,20.9,7.17,216,15.3,6.58,2.84,0.11,0.89,4.34,2.5
04/29/2011,21.1,7.47,247,18.8,8.4,3.11,0.1,1.12,5.07,6.8
04/30/2011,20.9,7.44,274,15.2,7.68,3.3,0.11,1.59,5.35,5
05/01/2011,20.4,7.29,262,15.1,6.35,2.83,0.12,1.71,5.52,1.8
05/02/2011,22,7.5,475,20.3,4.52,3.79,0.21,3.65,6.67,1.3
05/03/2011,22.6,7.54,548,17.3,4.07,3.78,0.25,4.77,9.43,1.5
05/04/2011,22,7.63,474,50.3,6.2,3.79,0.33,5.92,9.62,1.5
05/05/2011,20.2,7.49,277,92.5,7.17,2.84,0.45,3.58,6.4,1.1
05/06/2011,20.2,7.24,236,57.1,6.48,3.09,0.44,2.25,5.41,1.2
05/07/2011,20.6,7.31,244,29,6.09,3.25,0.39,1.96,5.46,0.8
05/08/2011,21.2,7.32,276,26.8,5.65,3.41,0.4,2.5,6.2,1.1
05/09/2011,21.6,7.24,242,21.8,5.28,3.31,0.36,1.39,5.26,0.8
05/10/2011,22.6,7.2,237,21.5,4.51,3.47,0.34,1.41,5.14,0.5
05/11/2011,22.9,7.08,228,20.8,3.72,3.63,0.28,1.8,5.53,0.5
05/12/2011,23,7.05,212,19,3.26,2.58,0.23,1.01,4.67,0.25
05/13/2011,23.8,7.33,300,60.2,6.02,4.09,0.37,1.87,6.49,0.8
05/14/2011,20.6,7.56,183,233.7,8.57,5.28,,1.07,3.08,0.25
05/15/2011,20.1,7.42,177,77.4,8.64,5.37,0.33,0.73,3.35,0.25
05/16/2011,20.1,7.42,156,202.3,9.15,3.27,0.39,0.78,2.97,0.5
05/17/2011,20.1,7.5,144,229.2,9.2,3.01,0.38,0.41,1.87,0.5
05/18/2011,20.5,7.29,136,50.7,8.93,2.53,0.16,0.22,2.14,0.25
05/19/2011,20.8,7.26,153,75.1,8.4,2.65,0.13,0.52,2.6,0.25
05/20/2011,21.3,7.29,136,77.1,8.31,2.77,0.13,0.16,2.03,0.25
05/21/2011,21.9,7.29,148,72.4,7.86,2.93,0.13,0.16,2.03,0.25
05/22/2011,22.2,7.13,183,64.9,7.06,3.14,0.13,0.69,2.92,0.25
05/23/2011,21.9,7.24,163,60.4,7.19,3.01,0.14,0.69,2.29,0.25
05/24/2011,21.8,7.26,242,49.9,6.42,2.68,0.15,1.18,2.88,0.25
05/25/2011,22,7.33,338,46.7,5.6,2.92,0.2,1.49,4.86,0.25
05/26/2011,21.8,7.23,251,49.6,5.83,5.17,0.19,1.01,3.63,0.25
05/27/2011,21.8,7.23,187,49.9,6.44,3.22,0.16,0.22,2.55,0.25
05/28/2011,22.5,7.17,275,41,5.41,3.3,0.16,1.45,4.68,0.25
05/29/2011,22.9,7.21,198,43.1,6.04,3.35,0.15,0.38,3.07,0.25
05/30/2011,23.5,7.25,209,38,6.38,3.45,0.13,0.81,3.52,0.25
05/31/2011,23,7.17,169,38.3,6.7,3.49,0.11,0.55,2.87,0.25
06/01/2011,23.7,7.23,168,30.2,7.12,3.37,0.11,0.35,2.65,0.25
06/02/2011,24.2,7.11,217,25.3,6.37,3.46,0.11,1.25,4.31,0.25
06/03/2011,24.1,7.1,218,20.4,6.2,3.37,0.1,0.94,3.9,0.25
06/04/2011,24.7,7.25,229,18.5,6.34,3.35,0.1,0.43,3.71,0.25
06/05/2011,24.7,7.21,232,20.7,6.16,3.41,0.1,0.98,4.01,0.25
06/06/2011,25.2,7.31,247,21.9,6.22,3.43,0.11,0.59,3.87,3.2
06/07/2011,24.5,7.25,220,24.1,6.53,3.17,0.11,0.92,5.03,4.9
06/08/2011,23.4,7.26,176,38.8,6.73,2.57,0.13,0.42,3.82,4.8
06/09/2011,23.7,7.15,182,27.3,6.42,2.37,0.12,0.94,4.31,4.7
06/10/2011,23.9,7.14,190,30.5,6.17,2.47,0.12,0.84,4.31,4.7
06/11/2011,23.6,7.28,185,28.3,6.24,2.48,0.14,0.81,3.17,4.6
06/12/2011,24.2,7.44,262,55.1,7.05,2.48,0.19,2.63,4.6,5.3
06/13/2011,23.6,7.3,159,406.3,7.47,2.52,0.29,2.16,5.37,4.5
06/14/2011,24,7.48,221,214.2,6.5,3.43,0.32,1.38,3.77,4.6
06/15/2011,24.3,7.41,204,93.6,6.58,2.49,0.19,0.6,3.2,4.6
06/16/2011,24.7,7.44,214,75.2,6.26,2.61,0.17,0.33,3.23,4.6
06/17/2011,25.5,7.49,288,74.7,5.48,2.45,0.2,1.15,4.4,4.7
06/18/2011,25.5,7.34,256,57.7,5.26,2.68,0.18,1.36,4.56,4.7
06/19/2011,25.4,7.32,206,54,5.8,2.67,0.17,0.55,3.45,4.8
06/20/2011,25.9,7.32,249,46.9,5.77,2.86,0.16,1.22,4.54,4.8
06/21/2011,27.4,7.38,332,39.7,4.56,2.65,0.17,1.19,5.89,4.9
06/22/2011,27.5,7.38,317,41.6,4.88,3.11,0.17,1.06,6.35,5.1
06/23/2011,26.8,7.36,294,45.7,4.92,3.31,0.18,1.05,6.34,5
06/24/2011,26.2,7.33,269,48.6,4.91,3.27,0.2,0.65,5.65,4.9
06/25/2011,26.3,7.37,251,44.4,4.64,3.2,0.2,0.22,5.09,4.9
06/26/2011,26.6,7.4,243,46.1,4.83,3.35,0.2,0.3,4.68,4.8
06/27/2011,27.4,7.5,254,36.1,5.47,2.81,0.19,0.18,4.64,5
06/28/2011,22.9,6.34,235,30,4.47,2.38,0.2,0.15,5.46,5
06/29/2011,27.2,7.53,343,53.7,5.34,3.4,0.24,1.6,8.52,5
06/30/2011,26,7.57,261,61.9,5.62,3.2,0.22,0.61,4.51,5
07/01/2011,26,7.56,245,67.4,5.34,3.13,0.25,0.64,4.26,4.9
07/02/2011,26.9,7.45,324,44.9,4.52,3.45,0.26,2.38,7.07,4.9
07/03/2011,27.7,7.44,256,31.7,5.3,3.34,0.22,0.59,4.92,5
07/04/2011,28.1,7.49,292,32.3,5.3,3.44,0.22,0.89,5.37,5
07/05/2011,28.4,7.45,284,29.3,5.75,3.77,0.17,1.07,5.7,6.7
07/06/2011,28.3,7.53,233,26.6,6.95,3.71,0.15,0.23,4.08,6.7
07/07/2011,27.7,7.43,234,22.2,6.93,3.44,0.13,0.5,4.31,5.5
07/08/2011,27.8,7.32,252,27.4,6.41,3.42,0.13,0.73,4.88,5.1
07/09/2011,27.9,7.29,239,29.1,5.48,3.62,0.12,0.41,4.33,5
07/10/2011,28.8,7.5,306,30.8,4.61,3.23,0.16,0.46,5.31,5.2
07/11/2011,29.7,7.58,395,30.9,4.43,3.9,0.19,0.91,6.83,5.4
07/12/2011,28.7,7.58,333,52.5,4.71,3.82,0.24,1,6.57,5.2
07/13/2011,27.8,7.55,317,42.6,4.85,3.65,0.25,2.25,7.32,5.1
07/14/2011,27.7,7.47,284,51.6,4.27,3.67,0.25,1.31,6.11,5
07/15/2011,27.2,7.38,238,57,4.45,3.67,0.24,0.45,4.93,4.9
07/16/2011,26.8,7.38,267,56.5,4.43,3.66,0.24,0.81,5.73,4.9
07/17/2011,26,7.43,256,55.4,4.95,3.52,0.24,0.57,5.63,4.9
07/18/2011,25.4,7.45,271,179.8,6.28,4.71,0.33,1.39,6.59,4.9
07/19/2011,25.5,7.43,236,318.5,5.23,5.64,0.42,1.93,6.49,5
07/20/2011,26,7.29,199,154.5,5.02,4.3,0.33,0.54,5.21,4.8
07/21/2011,26.5,7.47,206,83.6,4.82,3.21,0.27,0.22,4.57,4.8
07/22/2011,26.8,7.44,203,60.4,4.72,3.35,0.23,0.26,3.25,4.8
07/23/2011,27.1,7.38,250,43.4,4.53,3.64,0.21,1.39,4.83,4.8
07/24/2011,27.6,7.46,209,43,5.12,3.62,0.2,0.13,3.47,4.8
07/25/2011,27.8,7.44,234,32,4.59,3.29,0.19,0.42,4.99,4.8
07/26/2011,27.7,7.48,222,41.7,4.96,2.5,0.19,0.24,4.33,4.9
07/27/2011,28.7,7.45,292,37.1,4.59,2.85,0.19,0.46,5.41,4.9
07/28/2011,28.8,7.49,277,37.7,4.55,3.4,0.18,0.9,5.76,5.1
07/29/2011,28.8,7.47,231,27.1,4.91,3.26,0.16,0.34,4.72,5.1
07/30/2011,28.8,7.44,256,31.3,5.54,2.98,0.17,0.42,4.81,4.9
07/31/2011,28.6,7.36,275,31.2,4.89,3.09,0.17,0.72,5.32,5.4
08/01/2011,28.5,7.48,249,34.8,5.41,3.24,0.16,0.14,4.21,4.9
08/02/2011,28.7,7.38,299,33.7,4.91,3.31,0.16,0.92,5.99,5
08/03/2011,28.7,7.49,287,40.8,5.68,3.4,0.18,0.43,5.26,5
08/04/2011,28.6,7.43,316,29.7,4.94,3.39,0.2,1.21,6.93,5
08/05/2011,28.5,7.46,253,43.5,5.07,3.8,0.21,0.26,4.94,4.8
08/06/2011,28.5,6.43,223,47.3,4.07,3.84,0.22,0.73,5.31,4.9
08/07/2011,28.4,7.53,245,43.5,4.88,3.74,0.24,0.48,4.9,4.9
08/08/2011,28.5,7.42,247,31.7,4.52,3.7,0.21,0.48,4.8,4.9
08/09/2011,28.1,7.42,259,37.5,4.52,4.17,0.21,0.67,4.99,4.9
08/10/2011,27.7,7.46,232,36.9,4.58,3.91,0.21,0.22,4.4,4.9
08/11/2011,27.9,7.42,290,34.8,4.27,3.07,0.22,1.12,6.2,4.9
08/12/2011,28.1,7.38,273,33.8,4.74,2.51,0.21,0.69,5.24,4.9
08/13/2011,28.2,7.47,280,35.1,4.9,2.53,0.23,0.44,4.68,4.9
08/14/2011,28.2,7.34,267,25.9,4.61,2.63,0.2,1.09,5.18,4.9
08/15/2011,24.2,6.38,204,18.3,4,2.51,0.19,0.33,4.56,5
08/16/2011,28.8,7.45,223,21.2,5.53,2.57,0.17,0.35,4.3,5
08/17/2011,29.1,7.35,242,15.7,5.69,2.62,0.15,0.64,4.83,5.4
08/18/2011,29.2,7.49,253,15.5,5.67,2.34,0.16,0.16,4.59,5.1
08/19/2011,29.5,7.54,248,13.2,6.13,1.99,0.15,0.11,4.91,5.2
08/20/2011,28.7,7.47,272,27.2,5.04,2.08,0.15,0.6,5.84,5.1
08/21/2011,28.4,7.41,253,19.5,4.89,2.09,0.16,0.34,4.98,5
08/22/2011,28.5,7.48,242,19.4,5.5,2.7,0.15,0.21,4.38,5
08/23/2011,25,6.51,241,11.9,4.18,2.32,0.14,0.52,2.97,4.4
08/24/2011,28.4,7.51,301,24.7,4.6,2.46,0.17,0.58,4.08,4.9
08/25/2011,28.5,7.64,396,30.2,4.61,2.01,0.17,0.46,3.68,4.9
08/26/2011,28.6,7.54,348,25.7,4.22,2.7,0.22,1.13,4.33,5
08/27/2011,28.5,7.44,316,27.6,4.15,2.7,0.26,1.74,3.57,5
08/28/2011,28.3,7.38,239,43.4,4.33,2.18,0.24,0.28,3.29,4.9
08/29/2011,27.8,7.33,251,44.5,3.86,2.35,0.23,0.7,3.26,4.9
08/30/2011,26,7.16,157,34.4,6.06,2.61,0.16,0.36,1.8,4.8
08/31/2011,26.1,7.27,250,35.7,4.46,2.78,0.21,1.06,2.8,4.8
09/01/2011,25.5,7.41,329,41.2,4.1,3.36,0.32,1.7,3.73,4.8
09/02/2011,25.2,7.33,286,43.8,5.17,3.37,0.3,1.33,3.38,4.8
09/03/2011,25.6,7.32,211,53,4.95,3.41,0.29,0.15,2.05,4.8
09/04/2011,26.2,7.34,217,40.7,4.73,3.38,0.26,0.26,2.42,4.8
09/05/2011,26.8,7.22,204,40.2,4.31,2.77,0.22,0.91,3.36,4.8
09/06/2011,27,7.33,211,37.2,4.26,3.14,0.23,0.13,2.38,4.8
09/07/2011,27.3,7.39,235,40.1,4.21,3.3,0.22,0.36,1.96,4.9
09/08/2011,27.8,7.27,272,38.6,3.51,3.25,0.22,1.07,3.44,4.9
09/09/2011,28.1,7.23,274,31.7,4.16,2.34,0.2,0.38,2.62,4.9
09/10/2011,28.2,7.4,265,29.7,4.26,2.4,0.2,0.32,3.04,5
09/11/2011,28,7.35,272,43.4,4.52,2.91,0.2,0.5,3.84,5.1
09/12/2011,27.3,7.22,229,48.8,4.71,3.05,0.21,1.12,2.62,4.8
09/13/2011,27.1,7.24,190,40.8,4.51,2.96,0.19,0.44,3,4.8
09/14/2011,27.2,7.26,183,43.2,4.66,3.35,0.19,0.57,2.77,4.8
09/15/2011,28.1,7.26,282,34.5,3.81,2.34,0.17,1.44,4.58,4.9
09/16/2011,28.1,7.26,260,37.6,4.93,3,0.19,1.16,3.22,5
09/17/2011,28.4,7.43,183,25.8,6.89,2.9,0.17,0.06,1.93,5.3
09/18/2011,27.9,7.45,241,24.9,5.11,2.99,0.17,0.19,2.52,5.2
09/19/2011,27.9,7.39,244,23.6,5.04,2.43,0.17,0.37,2.92,5
09/20/2011,27.1,7.37,227,24.2,4.89,3.09,0.17,0.38,2.45,4.9
09/21/2011,26.3,7.33,268,32.7,4.25,3,0.18,0.52,2.38,4.9
09/22/2011,25.5,7.35,231,33.6,4.44,2.95,0.18,0.4,2.3,4.8
09/23/2011,25,7.32,269,39.3,4.2,3.13,0.17,1.24,2.71,4.8
09/24/2011,24.9,7.36,251,24.2,4.65,3.21,0.17,0.86,2.57,4.8
09/25/2011,25.2,7.43,232,27.6,4.92,3.03,0.18,0.14,2.4,4.8
09/26/2011,25.3,7.37,265,26.2,4.7,3.09,0.17,0.59,2.44,4.8
09/27/2011,25.5,7.38,245,22.9,4.92,3.44,0.17,0.33,2.18,4.8
09/28/2011,25.7,7.29,203,21.1,5.24,2.4,0.15,0.46,2.02,4.8
09/29/2011,26,7.31,259,16.6,4.85,2.7,0.14,0.79,2.21,4.9
09/30/2011,26.3,7.38,254,19,4.91,2.59,0.14,0.56,2.97,4.9
10/01/2011,26.4,7.36,304,17.2,4.49,2.86,0.15,1.35,4.11,4.9
10/02/2011,25.7,7.42,254,25.5,4.59,2.66,0.16,0.88,2.94,4.9
10/03/2011,24.8,7.43,251,26.5,4.42,3.2,0.17,0.7,2.65,4.8
10/04/2011,24.1,7.29,258,26.7,4.34,2.56,0.17,1.13,3.2,4.7
10/05/2011,24.1,7.39,222,23.9,4.89,1.84,0.17,0.33,2.83,4.8
10/06/2011,24.4,7.31,223,22.8,5,2.06,0.15,0.9,2.24,4.7
10/07/2011,24.5,7.33,280,18.8,4.13,2.3,0.16,1.34,2.35,4.7
10/08/2011,24.5,7.35,244,20.1,4.42,2.07,0.15,0.98,2.35,4.7
10/09/2011,24.6,7.31,225,19.5,4.93,2.11,0.13,1.1,2.45,4.7
10/10/2011,24.9,7.28,221,16.2,5.31,1.94,0.13,0.83,2.49,4.8
10/11/2011,25.2,7.34,208,16.8,5.41,2.4,0.13,0.36,2.28,4.9
10/12/2011,25.2,7.39,265,18.5,5.07,2.93,0.14,0.74,2.27,4.9
10/13/2011,24.8,7.49,365,50.2,5.05,2.6,0.16,0.62,3.32,4.9
10/14/2011,24.5,7.5,353,94.4,6.32,2.63,0.2,0.83,3.08,4.8
10/15/2011,23.9,7.38,269,100.3,5.45,3.1,0.27,1.44,3.04,4.8
10/16/2011,23.6,7.32,220,131,4.79,3.43,0.27,1.28,2.45,4.8
10/17/2011,23.8,7.28,176,66.9,4.66,3.11,0.21,0.5,0.98,4.7
10/18/2011,23.8,7.32,159,32.7,5.46,2.95,0.18,0.18,1.26,4.8
10/19/2011,23.6,7.46,175,27.9,5.6,2.93,0.17,0.17,1.55,4.7
10/20/2011,23.4,7.45,191,27.8,5.59,2.98,0.18,0.49,2.07,4.8
10/21/2011,23.7,7.35,216,24.9,5.37,3,0.16,1.36,2.49,4.8
10/22/2011,23.9,7.44,236,26.7,5.22,3.14,0.17,1.37,2.72,4.8
10/23/2011,24.1,7.46,191,22.9,5.83,3.46,0.14,0.99,1.98,4.8
10/24/2011,24.2,7.49,215,20.5,5.84,2.64,0.15,0.14,2.58,4.8
10/25/2011,23.9,7.52,241,17.2,5.23,3.14,0.15,0.11,2.52,4.8
10/26/2011,23.6,7.61,215,19.5,5.71,3.28,0.14,0.08,2.69,4.8
10/27/2011,23.4,7.68,244,22.7,5.78,3.18,0.17,0.11,2.73,4.9
10/28/2011,23.8,7.65,223,15.9,5.83,3.15,0.15,0.08,2.14,4.8
10/29/2011,23.9,7.57,278,19.3,5.39,3.01,0.15,0.49,2.18,4.8
10/30/2011,23.7,7.46,290,22,5.51,2.26,0.14,0.5,1.87,4.9
10/31/2011,23.5,7.42,290,13.6,5.25,2.25,0.14,0.78,2.01,4.9
11/01/2011,23.5,7.35,213,14.5,5.68,2.96,0.13,0.53,2.12,4.9
11/02/2011,23.7,7.38,259,16.5,5.23,2.5,0.14,0.72,3.17,5
11/03/2011,23.8,7.41,277,15.2,5.07,2.8,0.16,0.79,3.63,4.9
11/04/2011,24.3,7.41,271,12.5,5.5,2.62,0.14,0.42,3.29,5
11/05/2011,24.5,7.39,261,15.3,5.62,2.91,0.13,0.63,3.45,5
11/06/2011,24.5,7.35,266,14,5.31,2.81,0.14,0.92,3.99,5
11/07/2011,24.4,7.36,300,14.3,4.71,2.83,0.13,0.91,4.05,5
11/08/2011,23.9,7.32,246,18.8,4.87,2.67,0.14,0.64,3.63,5
11/09/2011,23,7.51,393,40.6,5.63,2.71,0.17,0.68,4.81,5
