时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,总氮,叶绿素
07/21/2010 21:00:00,,5.00,,,,2.24,0.07,0.03,2.13,
07/22/2010 03:00:00,,5.00,,,,3.73,0.07,0.03,2.29,
07/22/2010 09:00:00,,5.00,,,,5.22,0.05,0.14,2.25,
07/22/2010 15:00:00,,5.00,,,,1.98,0.05,0.10,2.25,
07/22/2010 23:09:00,,5.00,,,,0.25,0.05,0.05,2.33,
07/23/2010 05:09:00,,5.00,,,,3.43,0.04,0.03,2.29,
07/23/2010 11:09:00,,5.00,,,,4.34,0.05,0.03,2.35,
07/23/2010 17:09:00,,5.00,,,,0.25,0.00,0.03,2.65,
07/23/2010 23:09:00,,5.00,,,,2.65,0.04,0.03,2.34,
07/24/2010 05:09:00,,5.00,,,,4.12,0.04,0.03,2.38,
07/24/2010 11:09:00,,5.00,,,,4.91,0.11,0.60,2.35,
07/24/2010 17:09:00,,5.00,,,,5.11,0.10,0.61,2.36,
07/24/2010 23:09:00,,5.00,,,,5.25,0.09,0.53,2.34,
07/25/2010 05:09:00,,5.00,,,,5.03,0.08,0.45,2.35,
07/25/2010 11:09:00,,5.00,,,,5.00,0.08,0.43,2.37,
07/25/2010 17:09:00,,5.00,,,,0.25,0.00,0.03,2.35,
07/25/2010 23:09:00,,5.00,,,,2.34,0.07,0.13,2.36,
07/26/2010 05:09:00,,5.00,,,,4.26,0.07,0.08,2.34,
07/26/2010 11:09:00,,5.00,,,,4.66,0.07,0.08,2.30,
07/26/2010 17:09:00,,5.00,,,,0.25,0.00,0.03,2.05,
07/26/2010 23:09:00,,5.00,,,,2.61,0.07,0.03,2.28,
07/27/2010 05:09:00,,5.00,,,,5.47,0.06,0.03,2.31,
07/27/2010 23:37:00,,5.00,,,,4.27,0.14,1.04,2.32,
07/28/2010 05:37:00,,5.00,,,,4.97,0.13,1.02,2.36,
07/28/2010 11:37:00,,5.00,,,,5.46,0.12,0.98,2.28,
07/28/2010 17:37:00,,5.00,,,,5.53,0.11,0.93,2.27,
07/28/2010 23:37:00,,5.00,,,,5.56,0.10,0.74,2.35,
07/29/2010 05:37:00,,5.00,,,,5.20,0.10,0.57,2.37,
07/29/2010 11:37:00,,5.00,,,,5.34,0.10,0.49,2.29,
07/29/2010 17:37:00,,5.00,,,,5.84,0.09,0.32,2.25,
07/30/2010 23:37:00,,5.00,,,,3.33,0.13,0.14,2.26,
07/31/2010 05:37:00,,5.00,,,,2.96,0.13,0.08,2.26,
07/31/2010 11:37:00,,5.00,,,,2.85,0.12,0.06,2.31,
07/31/2010 17:37:00,,5.00,,,,3.20,0.11,0.03,2.26,
07/31/2010 23:37:00,,5.00,,,,3.59,0.11,0.03,2.30,
08/01/2010 05:37:00,,5.00,,,,3.08,0.11,0.03,2.23,
08/01/2010 11:37:00,,5.00,,,,2.93,0.11,0.03,2.22,
08/01/2010 17:37:00,,5.00,,,,3.17,0.10,0.03,2.22,
08/01/2010 23:37:00,,5.00,,,,3.71,0.10,0.03,2.17,
08/02/2010 05:37:00,,5.00,,,,3.33,0.07,0.03,2.27,
08/02/2010 11:37:00,,5.00,,,,3.15,0.08,0.03,2.21,
08/02/2010 17:37:00,,5.00,,,,3.50,0.07,0.03,2.65,
08/02/2010 23:37:00,,5.00,,,,3.60,0.07,0.03,2.20,
08/03/2010 05:37:00,,5.00,,,,3.24,0.07,0.03,3.10,
08/03/2010 11:37:00,,5.00,,,,3.05,0.07,0.03,2.50,
08/03/2010 17:37:00,,5.00,,,,3.40,0.07,0.03,1.90,
08/03/2010 23:37:00,,5.00,,,,3.99,0.08,0.03,2.80,
08/04/2010 05:37:00,,5.00,,,,3.76,0.07,0.03,2.20,
08/04/2010 11:37:00,,5.00,,,,3.47,0.07,0.03,3.25,
08/04/2010 23:37:00,,5.00,,,,1.06,0.07,0.03,3.40,
08/05/2010 05:37:00,,5.00,,,,3.25,0.07,0.03,2.65,
08/05/2010 11:37:00,,5.00,,,,0.25,0.00,0.03,2.05,
08/05/2010 17:37:00,,5.00,,,,0.25,0.00,0.03,2.50,
08/05/2010 23:37:00,,5.00,,,,2.08,0.00,0.03,1.90,
08/06/2010 05:37:00,,5.00,,,,2.92,0.00,0.03,2.95,
08/06/2010 11:37:00,,5.00,,,,3.12,0.00,0.03,2.35,
08/06/2010 17:37:00,,5.00,,,,3.61,0.19,0.40,3.25,
08/06/2010 23:37:00,,5.00,,,,10.53,0.17,0.25,2.65,
08/07/2010 05:37:00,,5.00,,,,9.50,0.16,0.22,1.90,
08/07/2010 11:37:00,,5.00,,,,0.82,0.15,0.20,2.35,
08/07/2010 23:37:00,,5.00,,,,0.25,0.14,0.13,3.12,
08/08/2010 05:37:00,,5.00,,,,1.95,0.14,0.10,3.25,
08/08/2010 11:37:00,,5.00,,,,2.09,0.14,0.07,2.50,
08/08/2010 17:37:00,,5.00,,,,2.19,0.14,0.03,1.90,
08/08/2010 23:37:00,,5.00,,,,2.70,0.14,0.03,2.80,
08/09/2010 05:37:00,,5.00,,,,2.20,0.14,0.03,2.20,
08/09/2010 11:37:00,,5.00,,,,1.83,0.14,0.03,3.25,
08/09/2010 17:37:00,,5.00,,,,2.12,0.14,0.03,2.65,
08/09/2010 23:37:00,,5.00,,,,2.45,0.14,0.61,1.90,
08/10/2010 05:37:00,,5.00,,,,3.82,0.15,0.49,3.03,
08/10/2010 11:37:00,,5.00,,,,3.19,0.14,0.47,2.83,
08/10/2010 17:37:00,,5.00,,,,0.25,0.12,0.43,2.32,
08/10/2010 23:37:00,,5.00,,,,1.67,0.12,0.37,3.18,
08/11/2010 05:37:00,,5.00,,,,2.40,0.12,0.31,3.10,
08/11/2010 11:37:00,,5.00,,,,2.08,0.12,0.22,3.18,
08/11/2010 17:37:00,,5.00,,,,2.22,0.12,0.12,3.28,
08/11/2010 23:37:00,,5.00,,,,2.88,0.12,0.05,3.26,
08/12/2010 05:37:00,,5.00,,,,2.47,0.12,0.03,3.18,
08/12/2010 11:37:00,,5.00,,,,2.11,0.12,0.03,2.35,
08/12/2010 17:37:00,,5.00,,,,,0.12,0.03,3.33,
08/12/2010 23:37:00,,5.00,,,,3.26,0.12,0.03,3.39,
08/13/2010 05:37:00,,5.00,,,,2.90,0.12,0.03,3.27,
08/13/2010 11:37:00,,5.00,,,,2.18,0.12,0.03,2.65,
08/13/2010 17:37:00,,5.00,,,,2.79,0.12,0.03,2.05,
08/13/2010 23:37:00,,5.00,,,,3.60,0.17,0.13,2.95,
08/14/2010 05:37:00,,5.00,,,,3.75,0.15,0.08,2.35,
08/14/2010 11:37:00,,5.00,,,,3.11,0.14,0.08,3.40,
08/14/2010 17:37:00,,5.00,,,,3.32,0.14,0.03,2.80,
08/14/2010 23:37:00,,5.00,,,,3.46,0.13,0.03,2.05,
08/15/2010 05:37:00,,5.00,,,,2.63,0.13,0.03,3.10,
08/15/2010 11:37:00,,5.00,,,,2.21,0.13,0.03,2.35,
08/15/2010 17:37:00,,5.00,,,,2.55,0.13,0.03,3.40,
08/15/2010 23:37:00,,5.00,,,,2.80,0.12,0.03,2.80,
08/16/2010 05:37:00,,5.00,,,,2.57,0.11,0.03,2.20,
08/16/2010 11:37:00,,5.00,,,,,0.12,0.03,3.10,
08/16/2010 17:37:00,,5.00,,,,2.69,0.12,0.03,2.50,
08/16/2010 23:37:00,,5.00,,,,0.25,0.12,0.03,3.40,
08/17/2010 05:37:00,,5.00,,,,2.28,0.12,0.03,2.80,
08/17/2010 16:44:00,,5.00,,,,0.25,0.12,0.03,2.05,
08/17/2010 22:44:00,,5.00,,,,1.08,0.12,0.03,2.95,
08/18/2010 04:44:00,,5.00,,,,3.11,0.11,0.03,2.50,
08/18/2010 10:44:00,,5.00,,,,2.84,0.11,0.03,3.40,
08/18/2010 17:00:00,,,,,,0.25,0.00,0.03,2.65,
08/18/2010 23:00:00,,,,,,2.06,0.13,0.26,1.90,
08/19/2010 05:00:00,,,,,,3.35,0.15,0.28,2.95,
08/19/2010 11:00:00,,,,,,3.36,0.12,0.26,2.20,
08/19/2010 17:00:00,,,,,,3.24,0.11,0.22,3.40,
08/19/2010 23:00:00,,,,,,1.48,0.11,0.15,2.65,
08/20/2010 05:00:00,,,,,,2.56,0.11,0.12,2.05,
08/20/2010 11:00:00,,,,,,3.13,0.11,0.09,2.95,
08/20/2010 17:00:00,,,,,,3.54,0.11,0.03,2.35,
08/20/2010 23:00:00,,,,,,4.45,0.14,0.55,3.25,
08/21/2010 05:00:00,,,,,,3.80,0.13,0.43,2.80,
08/21/2010 11:00:00,,,,,,3.72,0.13,0.30,2.05,
08/21/2010 17:00:00,,,,,,3.74,0.13,0.20,3.10,
08/21/2010 23:00:00,,,,,,3.96,0.12,0.10,2.35,
08/22/2010 05:00:00,,,,,,3.76,0.12,0.03,3.40,
08/22/2010 11:00:00,,,,,,3.48,0.12,0.03,2.65,
08/22/2010 17:00:00,,,,,,6.13,0.13,0.11,2.05,
08/22/2010 23:00:00,,,,,,4.72,0.12,0.03,3.10,
08/23/2010 05:00:00,,,,,,4.29,0.11,0.03,2.50,
08/23/2010 11:00:00,,,,,,4.08,0.10,0.03,3.40,
08/23/2010 17:00:00,,,,,,,,,,
08/25/2010 23:00:00,,,,,,,,,,
08/26/2010 05:00:00,,,,,,1.79,0.17,0.12,1.90,
08/26/2010 11:00:00,,,,,,1.63,0.17,0.11,2.95,
08/26/2010 17:00:00,,,,,,2.34,0.11,0.18,2.20,
08/26/2010 23:00:00,,,,,,2.20,0.15,0.17,3.25,
08/27/2010 05:00:00,,,,,,2.66,0.15,0.15,2.65,
08/27/2010 11:00:00,,,,,,2.29,0.15,0.90,2.99,
08/27/2010 17:00:00,,,,,,0.25,0.00,0.73,3.10,
08/27/2010 23:00:00,,,,,,,0.16,0.51,3.16,
08/28/2010 05:00:00,,,,,,4.74,0.12,0.28,2.91,
08/28/2010 11:00:00,,,,,,3.30,0.11,0.21,2.95,
08/28/2010 17:00:00,,,,,,,,,,
08/28/2010 23:00:00,,,,,,2.45,0.12,0.07,2.53,
08/29/2010 05:00:00,,,,,,2.80,0.10,0.03,3.26,
08/29/2010 11:00:00,,,,,,2.86,0.11,0.03,2.92,
08/29/2010 17:00:00,,,,,,1.11,0.11,0.92,2.63,
08/29/2010 23:00:00,,,,,,2.47,0.11,0.45,2.67,
08/30/2010 05:00:00,,,,,,2.59,0.11,0.26,2.52,
08/30/2010 11:00:00,,,,,,3.45,0.14,0.25,2.48,
08/30/2010 17:00:00,,,,,,3.50,0.13,0.24,1.97,
08/30/2010 23:00:00,,,,,,3.26,0.12,0.16,2.13,
08/31/2010 05:00:00,,,,,,3.24,0.12,0.06,2.59,
08/31/2010 11:00:00,,,,,,3.15,0.11,0.03,2.50,
08/31/2010 17:00:00,,,,,,3.32,0.11,0.03,2.92,
08/31/2010 23:00:00,,,,,,3.25,0.11,0.03,2.49,
09/01/2010 05:00:00,,,,,,3.16,0.11,0.03,2.35,
09/01/2010 11:00:00,,,,,,3.28,0.10,0.91,3.09,
09/01/2010 17:00:00,,,,,,2.44,0.13,0.95,2.68,
09/01/2010 23:00:00,,,,,,3.63,0.09,0.92,2.88,
09/02/2010 05:00:00,,,,,,3.33,0.09,0.88,2.87,
09/02/2010 11:00:00,,,,,,2.25,0.09,0.85,2.76,
09/02/2010 17:00:00,,,,,,3.64,0.09,0.74,3.16,
09/02/2010 23:00:00,,,,,,3.66,0.08,0.17,2.30,
09/03/2010 05:00:00,,,,,,3.48,0.08,0.13,2.46,
09/03/2010 11:00:00,,,,,,3.44,0.07,0.11,2.98,
09/03/2010 17:00:00,,,,,,3.52,0.07,0.11,2.33,
09/03/2010 23:00:00,,,,,,3.62,0.07,0.08,2.95,
09/04/2010 05:00:00,,,,,,3.46,0.07,0.03,2.70,
09/04/2010 11:00:00,,,,,,1.31,0.07,0.03,2.97,
09/04/2010 17:00:00,,,,,,0.85,0.07,0.03,2.80,
09/04/2010 23:00:00,,,,,,1.23,0.07,0.03,3.84,
09/05/2010 05:00:00,,,,,,2.88,0.07,0.03,2.79,
09/05/2010 11:00:00,,,,,,3.28,0.07,0.03,3.07,
09/05/2010 17:00:00,,,,,,3.30,0.07,0.03,2.81,
09/05/2010 23:00:00,,,,,,4.73,0.12,0.10,1.26,
09/06/2010 05:00:00,,,,,,4.50,0.11,0.06,1.38,
09/06/2010 11:00:00,,,,,,4.14,0.10,0.03,1.44,
09/06/2010 17:00:00,,,,,,4.72,0.10,0.03,1.85,
09/06/2010 23:00:00,,,,,,5.13,0.10,0.03,1.60,
09/07/2010 05:00:00,,,,,,4.99,0.09,0.03,1.38,
09/07/2010 11:00:00,,,,,,5.07,0.09,0.03,1.68,
09/07/2010 17:00:00,,,,,,,,,,
09/07/2010 23:00:00,,,,,,3.15,0.18,0.03,1.71,
09/08/2010 05:00:00,,,,,,3.96,0.14,0.20,2.24,
09/08/2010 11:00:00,,,,,,4.19,0.13,0.15,2.39,
09/08/2010 17:00:00,,,,,,4.49,0.12,0.03,2.41,
09/08/2010 23:00:00,,,,,,4.77,0.12,0.03,2.47,
09/09/2010 05:00:00,,,,,,4.83,0.11,0.03,2.58,
09/09/2010 11:00:00,,,,,,4.73,0.11,0.03,2.68,
09/09/2010 17:00:00,,,,,,4.82,0.11,0.03,2.61,
09/09/2010 23:00:00,,,,,,5.54,0.12,0.15,2.64,
09/10/2010 05:00:00,,,,,,4.86,0.11,0.03,2.68,
09/10/2010 11:00:00,,,,,,4.70,0.11,0.03,2.72,
09/10/2010 17:00:00,,,,,,4.86,0.11,0.03,2.89,
09/10/2010 23:00:00,,,,,,5.11,0.12,0.03,2.50,
09/11/2010 05:00:00,,,,,,4.94,0.11,0.03,2.61,
09/11/2010 11:00:00,,,,,,4.82,0.11,0.03,2.90,
09/11/2010 17:00:00,,,,,,,,,,
09/11/2010 23:00:00,,,,,,3.71,0.11,0.03,2.94,
09/12/2010 05:00:00,,,,,,4.25,0.11,0.03,2.33,
09/12/2010 11:00:00,,,,,,4.46,0.11,0.03,2.99,
09/12/2010 17:00:00,,,,,,,,,,
09/12/2010 23:00:00,,,,,,3.48,0.11,0.03,2.72,
09/13/2010 05:00:00,,,,,,5.21,0.14,0.03,2.83,
09/13/2010 11:00:00,,,,,,5.42,0.13,0.03,2.91,
09/13/2010 18:00:00,,5.00,,,,1.58,0.12,0.07,3.21,
09/14/2010 00:00:00,,5.00,,,,4.43,0.12,0.03,3.09,
09/14/2010 06:00:00,,5.00,,,,4.27,0.12,0.03,3.24,
09/14/2010 10:45:00,29.40,5.00,302.00,15.60,5.96,4.27,0.12,0.03,3.24,
09/14/2010 12:00:00,29.40,5.00,290.00,14.20,5.87,4.30,0.11,0.03,3.24,
09/14/2010 18:00:00,31.00,5.00,304.00,13.50,6.14,4.66,0.12,0.03,3.24,
09/15/2010 00:00:00,29.00,5.00,308.00,14.90,6.50,2.12,0.13,0.05,2.82,
09/15/2010 06:00:00,29.80,5.00,308.00,11.40,6.50,4.26,0.12,0.03,2.78,
09/15/2010 12:00:00,31.00,5.00,292.00,13.50,5.60,2.26,0.12,0.03,3.16,
09/15/2010 18:09:00,30.80,5.00,292.00,12.10,6.05,1.64,0.12,0.03,3.11,
09/15/2010 20:29:00,29.80,5.00,308.00,14.20,6.32,1.64,0.12,0.03,3.11,
09/16/2010 02:29:00,29.00,6.72,310.00,16.30,5.78,4.08,0.11,0.24,2.86,
09/16/2010 08:29:00,29.00,7.60,294.00,15.60,6.32,4.50,0.11,0.17,3.21,
09/16/2010 14:29:00,30.80,7.27,300.00,14.20,5.78,,,,,
09/16/2010 20:30:00,30.00,7.38,298.00,15.60,5.60,2.45,0.12,0.13,3.02,
09/17/2010 02:30:00,29.80,7.05,304.00,14.20,6.14,4.62,0.12,0.18,3.24,
09/17/2010 08:30:00,29.60,6.72,310.00,13.50,5.69,5.60,0.13,0.14,2.69,
09/17/2010 14:30:00,29.40,7.60,292.00,12.10,6.14,0.25,0.00,0.20,0.05,
09/17/2010 20:30:00,29.00,7.38,296.00,11.40,5.60,2.60,0.11,0.17,3.01,
09/18/2010 02:30:00,31.00,7.05,300.00,10.70,6.14,,0.10,0.14,2.92,
09/18/2010 08:30:00,30.80,6.72,306.00,17.00,5.60,5.66,0.10,0.18,3.13,
09/18/2010 14:30:00,30.40,7.60,310.00,17.00,6.23,5.52,0.09,0.15,2.82,
09/18/2010 20:30:00,30.20,7.27,292.00,15.60,5.69,5.84,0.09,0.20,2.77,
09/19/2010 02:30:00,30.00,6.94,298.00,14.90,6.14,6.67,0.16,0.17,4.04,
09/19/2010 08:30:00,29.60,6.50,300.00,13.50,5.69,6.05,0.14,0.14,3.71,
09/19/2010 14:30:00,29.40,7.38,306.00,12.80,6.14,3.52,0.13,0.19,3.44,
09/19/2010 20:30:00,29.20,7.16,290.00,12.10,5.69,6.23,0.13,0.15,3.37,
09/20/2010 02:30:00,29.20,6.83,294.00,10.70,6.14,6.55,0.13,0.12,3.91,
09/20/2010 08:30:00,31.00,6.50,298.00,10.00,5.69,6.60,0.14,0.17,3.76,
09/20/2010 14:30:00,30.80,7.38,302.00,17.00,6.23,6.81,0.13,0.14,3.90,
09/20/2010 20:30:00,30.60,7.05,308.00,15.60,5.69,6.73,0.12,0.18,3.93,
09/21/2010 02:30:00,30.20,6.72,290.00,14.90,6.23,6.59,0.12,0.16,3.68,
09/21/2010 08:30:00,30.00,7.60,294.00,14.20,5.69,6.26,0.12,0.12,3.66,
09/21/2010 14:30:00,29.80,7.27,300.00,13.50,6.23,2.27,0.12,0.18,4.08,
09/21/2010 20:30:00,29.40,7.05,302.00,12.10,5.78,4.26,0.12,0.14,3.99,
09/22/2010 02:30:00,29.20,6.72,308.00,11.40,6.23,4.30,0.13,0.19,2.54,
09/22/2010 08:30:00,29.00,7.60,292.00,10.70,5.78,4.15,0.12,0.15,2.79,
09/22/2010 14:30:00,30.80,7.27,296.00,17.00,6.23,3.96,0.12,0.12,2.88,
09/22/2010 20:30:00,30.60,6.94,300.00,16.30,5.78,4.14,0.11,0.18,2.88,
09/23/2010 02:30:00,30.40,6.61,304.00,14.90,6.23,3.91,0.11,0.14,2.93,
09/23/2010 08:30:00,30.20,7.49,310.00,14.90,5.78,4.10,0.11,0.19,2.86,
09/23/2010 14:30:00,29.80,7.27,292.00,13.50,6.32,5.30,0.14,0.16,2.82,
09/23/2010 20:30:00,30.60,6.61,294.00,12.80,6.14,4.93,0.12,0.24,3.30,
09/24/2010 02:30:00,30.20,7.49,300.00,12.10,5.60,4.93,0.11,0.21,3.28,
09/24/2010 08:30:00,30.00,7.27,304.00,10.70,6.05,3.69,0.10,0.18,3.16,
09/24/2010 14:30:00,31.00,7.16,310.00,10.00,6.23,3.44,0.10,0.26,3.03,
09/24/2010 20:30:00,30.00,7.05,294.00,16.30,6.50,3.95,0.10,0.25,3.21,
09/25/2010 02:30:00,29.80,6.72,298.00,15.60,6.05,4.18,0.09,0.21,3.44,
09/25/2010 08:30:00,29.40,7.60,304.00,14.90,6.50,4.18,0.09,0.18,3.45,
09/25/2010 14:30:00,30.00,7.49,292.00,15.60,6.14,4.43,0.14,0.23,2.96,
09/25/2010 20:30:00,29.00,6.94,290.00,12.80,6.50,3.22,0.12,0.20,3.20,
09/26/2010 02:30:00,31.00,6.61,296.00,11.40,6.05,3.48,0.11,0.25,3.20,
09/26/2010 08:30:00,30.60,7.49,300.00,11.40,5.60,3.24,0.10,0.22,2.78,
09/26/2010 14:30:00,30.00,7.27,306.00,14.90,5.60,,,,,
09/26/2010 20:30:00,30.20,7.38,296.00,12.10,6.50,3.10,0.10,0.18,3.04,
09/27/2010 02:30:00,29.40,7.38,290.00,16.30,5.69,3.12,0.10,0.24,3.18,
09/27/2010 08:30:00,30.20,6.61,290.00,11.40,6.23,,,,,
09/27/2010 14:30:00,30.60,7.05,302.00,14.90,6.14,3.86,0.12,0.20,3.68,
09/27/2010 20:30:00,29.20,7.05,302.00,12.10,6.05,4.43,0.13,0.26,3.31,
09/28/2010 02:30:00,30.80,7.49,298.00,14.90,5.96,4.81,0.10,0.21,3.22,
09/28/2010 08:30:00,29.60,7.16,292.00,11.40,5.96,3.40,0.09,0.18,3.40,
09/28/2010 14:30:00,29.20,6.83,296.00,10.70,6.41,4.36,0.09,0.23,3.45,
09/29/2010 02:35:00,30.60,6.83,306.00,11.40,6.32,3.48,0.09,0.19,0.05,
09/29/2010 08:35:00,29.40,7.05,304.00,14.90,6.23,5.00,0.08,0.24,3.58,
09/29/2010 14:35:00,30.00,7.27,306.00,13.50,6.32,4.53,0.11,0.21,2.76,
09/30/2010 20:35:00,29.80,6.83,306.00,17.00,6.14,3.76,0.09,0.19,3.12,
10/01/2010 02:00:00,30.40,7.49,292.00,13.50,6.50,3.76,0.09,0.20,3.12,
10/01/2010 08:00:00,30.20,7.16,298.00,12.80,6.05,3.90,0.09,0.26,2.92,
10/01/2010 14:00:00,31.00,7.05,300.00,15.60,5.87,3.67,0.23,0.22,5.37,
10/01/2010 20:00:00,29.60,7.05,300.00,12.80,5.78,4.24,0.18,0.20,5.84,
10/02/2010 02:00:00,30.80,7.38,296.00,16.30,5.60,3.86,0.15,0.24,5.71,
10/02/2010 08:00:00,29.60,6.50,294.00,12.10,5.60,3.29,0.14,0.21,5.95,
10/02/2010 14:00:00,30.80,6.72,292.00,16.30,6.41,4.81,0.13,0.26,5.45,
10/02/2010 20:00:00,29.60,6.94,310.00,12.10,6.32,4.24,0.12,0.24,3.13,
10/03/2010 02:00:00,30.80,7.16,308.00,15.60,6.14,3.67,0.19,0.20,3.04,
10/03/2010 08:00:00,30.60,6.50,308.00,13.50,5.87,4.84,0.15,0.25,2.99,
10/03/2010 14:00:00,30.20,7.38,290.00,12.80,6.41,4.78,0.13,0.21,3.18,
10/03/2010 20:00:00,30.00,7.05,294.00,11.40,5.96,4.44,0.11,0.18,2.97,
10/04/2010 02:00:00,29.80,6.83,300.00,10.70,6.41,4.66,0.10,0.23,3.32,
10/04/2010 08:00:00,29.60,6.50,302.00,10.00,5.96,4.63,0.10,0.20,3.24,
10/04/2010 14:00:00,29.20,7.38,308.00,17.00,6.41,4.67,0.09,0.25,3.24,
10/04/2010 20:00:00,29.00,7.05,292.00,15.60,5.96,4.66,0.09,0.22,3.32,
10/05/2010 02:00:00,31.00,6.72,296.00,14.20,6.41,4.81,0.10,0.18,3.00,
10/05/2010 08:00:00,30.60,7.60,300.00,14.20,5.96,4.70,0.09,0.24,3.30,
10/05/2010 14:00:00,31.00,7.27,304.00,14.90,5.96,4.43,0.17,0.20,3.37,
10/05/2010 20:00:00,30.40,7.05,310.00,12.10,5.96,4.64,0.15,0.25,3.43,
10/06/2010 02:00:00,31.00,6.61,300.00,14.20,5.78,3.48,0.14,0.23,3.12,
10/06/2010 08:00:00,29.80,7.49,296.00,10.70,5.96,4.80,0.13,0.19,3.35,
10/06/2010 14:00:00,29.60,7.16,302.00,17.00,6.41,4.72,0.13,0.24,3.34,
10/06/2010 20:00:00,29.40,6.83,304.00,15.60,6.05,4.86,0.13,0.20,3.44,
10/07/2010 02:00:00,29.00,6.50,310.00,15.60,6.50,4.59,0.12,0.26,3.44,
10/07/2010 08:00:00,31.00,7.38,294.00,14.20,6.05,4.68,0.12,0.22,5.22,
10/07/2010 14:00:00,30.80,7.05,298.00,13.50,6.50,4.92,0.11,0.19,4.85,
10/07/2010 20:00:00,30.40,6.83,302.00,12.10,5.96,4.67,0.10,0.24,5.24,
10/08/2010 02:00:00,30.20,6.50,306.00,11.40,6.50,4.71,0.08,0.21,4.83,
10/08/2010 08:00:00,29.80,6.50,300.00,10.00,5.69,4.62,0.07,0.26,5.17,
10/08/2010 14:00:00,29.00,6.72,296.00,13.50,6.50,4.05,0.07,0.23,3.85,
10/08/2010 20:00:00,30.00,6.94,294.00,10.00,6.50,3.48,0.06,0.19,4.05,
10/09/2010 02:00:00,29.00,7.27,292.00,13.50,6.32,5.00,0.07,0.24,4.31,
10/09/2010 08:00:00,30.00,7.38,290.00,17.00,6.23,4.43,0.07,0.21,4.38,
10/09/2010 14:00:00,31.00,6.50,308.00,13.50,6.05,4.05,0.13,0.18,2.69,
10/09/2010 20:00:00,30.00,6.83,306.00,17.00,5.96,3.48,0.12,0.23,2.79,
10/10/2010 02:00:00,29.00,7.05,304.00,12.80,5.87,5.00,0.11,0.20,2.69,
10/10/2010 08:00:00,30.20,7.27,300.00,17.00,5.69,4.43,0.11,0.24,2.94,
10/10/2010 14:00:00,29.00,7.49,298.00,12.80,5.60,3.86,0.11,0.21,3.08,
10/10/2010 20:00:00,30.00,6.61,296.00,16.30,6.50,3.29,0.11,0.26,3.26,
10/11/2010 02:00:00,29.40,7.49,296.00,16.30,5.60,4.96,0.11,0.24,3.09,
10/11/2010 08:00:00,30.00,7.05,292.00,16.30,6.23,4.24,0.11,0.20,2.96,
10/11/2010 14:00:00,29.20,7.38,290.00,12.80,6.14,3.86,0.12,0.25,3.27,
10/11/2010 20:00:00,30.20,7.49,308.00,16.30,6.05,3.29,0.11,0.21,3.55,
10/12/2010 02:00:00,29.00,6.61,306.00,12.10,5.87,4.81,0.10,0.18,3.07,
10/12/2010 08:00:00,30.20,6.94,304.00,16.30,5.78,4.24,0.10,0.23,3.56,
10/12/2010 14:00:00,30.20,6.83,300.00,10.70,5.60,3.19,0.10,0.20,3.38,
10/12/2010 20:00:00,30.20,7.38,298.00,15.60,6.50,3.10,0.12,0.25,3.81,
10/13/2010 02:17:00,30.40,6.94,308.00,11.40,6.50,4.24,0.09,0.20,2.80,
10/13/2010 08:17:00,29.60,7.38,304.00,14.20,6.32,4.62,0.10,0.24,2.45,
