时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,总氮,氰化物
11/25/2009 15:00:00,,,,,,1.8,0.04,0.08,1.35,
11/25/2009 21:00:00,,,,,,1.8,0.04,0.09,1.35,
11/26/2009 03:00:00,,,,,,1.8,0.04,0.09,0.05,
11/26/2009 09:00:00,,,,,,1.8,0.03,0.09,0.05,
11/26/2009 18:00:00,,,,,,2.98,0.06,0.18,0.05,
11/27/2009 00:00:00,,,,,,,0.26,0.49,,
11/27/2009 12:00:00,,,,,,0.61,0.06,0.23,0.05,
11/27/2009 18:00:00,,,,,,3.07,0.06,0.17,0.05,
11/27/2009 21:44:00,,,,,,8.82,0.06,0.16,0.05,
11/28/2009 02:00:00,,,,,,,0.06,0.18,0.05,
11/28/2009 08:00:00,,,,,,,0.06,0.18,0.05,
11/28/2009 14:00:00,,,,,,2.27,0.07,0.17,0.05,
11/28/2009 20:00:00,,,,,,4.94,0.07,0.18,3.66,
11/29/2009 02:00:00,,,,,,1.94,0.06,0.2,3.58,
11/29/2009 08:00:00,,,,,,2.39,0.07,0.2,3.58,
11/29/2009 14:00:00,,,,,,4.9,0.07,0.21,3.96,
11/29/2009 20:00:00,,,,,,1.7,0.06,0.15,3.58,
11/30/2009 02:00:00,,,,,,2.13,0.06,0.18,3.8,
11/30/2009 08:00:00,,,,,,2,0.07,0.17,3.77,
11/30/2009 14:00:00,,,,,,1.99,0.06,0.18,3.55,
11/30/2009 20:00:00,,,,,,1.89,0.06,0.12,3.58,
12/01/2009 02:00:00,,,,,,1.41,0.05,0.11,3.8,
12/01/2009 09:00:00,,,,,,1.35,0.05,0.1,3.79,
12/01/2009 16:40:00,,,,,,0.25,0.05,0.03,2.91,
12/01/2009 22:00:00,,,,,,1.51,0.05,0.08,3.14,
12/02/2009 04:00:00,,,,,,1.4,0.05,0.08,3.35,
12/02/2009 10:00:00,,,,,,4.63,0.05,0.08,1.09,
12/02/2009 16:00:00,,,,,,0.25,0.05,0.1,2.65,
12/02/2009 22:51:00,,,,,,1.63,0.05,0.09,2.68,
12/03/2009 04:51:00,,,,,,1.6,0.05,0.1,2.7,
12/03/2009 11:00:00,,,,,,2.81,0.05,0.1,2.49,
12/03/2009 17:00:00,,,,,,1.86,0.05,0.1,2.56,
12/03/2009 23:00:00,,,,,,2.07,0.05,0.08,2.53,
12/04/2009 05:00:00,,,,,,3.18,0.07,0.07,2.7,
12/04/2009 08:00:00,,,,,,1.61,0.05,0.07,2.47,
12/04/2009 14:00:00,,,,,,3.46,0.05,0.07,2.44,
12/04/2009 15:41:00,,,,,,2.33,0.05,0.06,2.42,
12/04/2009 20:00:00,,,,,,1.23,0.05,0.07,2.65,
12/05/2009 02:00:00,,,,,,1.17,0.05,0.08,2.64,
12/05/2009 08:00:00,,,,,,2.88,0.05,0.09,2.65,
12/05/2009 14:00:00,,,,,,1.39,0.05,0.08,2.6,
12/05/2009 20:00:00,,,,,,2.86,0.05,0.11,2.66,
12/06/2009 02:00:00,,,,,,1.2,0.05,0.11,2.56,
12/06/2009 08:00:00,,,,,,2.53,0.05,0.09,2.53,
12/06/2009 14:00:00,,,,,,2.51,0.08,0.09,2.49,
12/06/2009 20:00:00,,,,,,1.48,0.05,0.12,2.51,
12/07/2009 02:00:00,,,,,,1.15,0.05,0.13,2.63,
12/07/2009 08:00:00,,,,,,1.64,0.05,0.14,2.64,
12/07/2009 14:00:00,,,,,,2.68,0.05,0.13,2.6,
12/07/2009 16:00:00,,,,,,,0.05,0.14,2.74,
12/07/2009 22:00:00,,,,,,1.31,0.05,0.18,2.55,
12/08/2009 04:00:00,,,,,,2.31,0.05,0.18,2.58,
12/08/2009 10:00:00,,,,,,2.56,0.05,0.17,2.66,
12/08/2009 16:00:00,,,,,,2.65,0.05,0.11,2.44,
12/08/2009 22:00:00,,,,,,2.47,0.05,0.1,2.4,
12/09/2009 10:00:00,,,,,,1.21,0.05,0.1,2.6,
12/09/2009 16:00:00,,,,,,2.71,0.06,0.2,2.69,
12/09/2009 22:00:00,,,,,,1.28,0.05,0.19,2.54,
12/10/2009 04:00:00,,,,,,,,,,
12/10/2009 10:00:00,,,,,,,,,,
12/10/2009 11:16:00,,,,,,,,,,
12/10/2009 15:00:00,18.5,6,,10.7,1,1.16,0.06,0.05,2.45,
12/10/2009 21:00:00,17.7,6.85,197,12.7,8.36,1.52,0.06,0.09,1.81,
12/11/2009 03:00:00,17.7,6.53,206,12.4,8.34,1.16,0.06,0.11,1.84,
12/11/2009 09:00:00,17.8,6.53,204,12.4,8.42,1.53,0.06,0.1,1.72,
12/11/2009 11:00:00,18,6.6,205,13.1,8.6,1.37,0.05,0.14,,
12/11/2009 14:00:00,18.2,6.65,207,10.1,8.93,1.3,0.05,0.27,2.92,
12/11/2009 20:00:00,18.1,6.67,208,8.5,8.48,1.54,0.05,0.29,2.7,
12/12/2009 02:00:00,18,6.74,206,6.1,8.35,1.29,0.05,0.31,2.77,
12/12/2009 08:00:00,17.9,6.93,200,10.3,8.36,1.48,0.05,0.25,2.93,
12/12/2009 12:00:00,18.6,7.06,197,12.7,8.53,1.33,0.05,0.2,2.81,
12/12/2009 18:00:00,18.5,6.99,198,16.6,8.51,1.4,0.05,0.19,2.87,
12/13/2009 00:00:00,18.1,7.16,193,12.3,8.49,,0.25,,,
12/13/2009 06:00:00,18,7.03,192,12.9,8.56,1.48,0.04,0.19,2.89,
12/13/2009 11:00:00,18.5,6.99,200,11.5,8.61,1.29,0.04,0.2,2.85,
12/13/2009 17:00:00,18.6,6.99,206,10,8.76,1.48,0.04,0.23,3.01,
12/13/2009 23:00:00,18.4,6.98,209,7.4,8.58,1.35,0.04,0.24,3,
12/14/2009 05:00:00,18.3,6.97,210,5.9,8.51,1.34,0.04,0.27,3.02,
12/14/2009 10:00:00,18.3,6.91,210,8.9,8.41,1.34,0.04,0.27,3.08,
12/14/2009 16:00:00,18.8,6.92,211,6.5,8.63,1.34,0.05,0.3,2.85,
12/14/2009 22:00:00,18.4,7.05,211,6.3,8.48,1.28,0.04,0.28,2.97,
12/15/2009 04:00:00,18.3,7.08,212,5.8,8.41,1.28,0.04,0.28,2.92,
12/15/2009 10:00:00,18.9,7.13,216,4.9,8.4,1.25,0.04,0.27,3.2,
12/15/2009 16:00:00,18.8,7.18,219,10.4,8.43,1.45,0.05,0.26,3.15,
12/15/2009 22:00:00,18.2,7.29,221,9.4,8.42,1.21,0.04,0.25,3,
12/16/2009 04:00:00,17.7,7.25,217,9.5,8.44,1,0.04,0.23,2.74,
12/16/2009 10:00:00,17.2,7.15,213,12.6,8.7,2.34,0.04,0.21,2.86,
12/16/2009 16:00:00,17.3,7.05,208,12,8.79,1.15,0.05,0.19,2.77,
12/16/2009 22:00:00,17,6.98,211,22.3,8.62,1.07,0.04,0.22,2.83,
12/17/2009 04:00:00,16.8,6.78,214,907,8.56,1.13,0.04,0.24,2.85,
12/17/2009 10:00:00,16.6,6.86,216,12.9,8.68,1.19,0.05,0.26,2.76,
12/17/2009 16:00:00,16.5,6.98,217,12.7,8.78,1.26,0.04,0.24,2.89,
12/17/2009 22:00:00,16.2,7.09,215,20.9,8.84,1.2,0.05,0.28,2.74,
12/18/2009 04:00:00,15.9,7.23,211,10.4,8.83,1.12,0.05,0.3,2.86,
12/18/2009 10:00:00,15.9,7.06,212,13.3,8.88,1.27,0.05,0.28,2.65,
12/18/2009 16:00:00,15.9,7.23,213,13.9,8.92,1.19,0.05,0.26,3.77,
12/18/2009 22:00:00,15.8,7.35,216,16.7,8.89,1.14,0.08,0.28,3.93,
12/19/2009 04:00:00,15.6,7.31,218,11.5,8.86,0.25,0.05,0.27,3.8,
12/19/2009 10:00:00,15.9,7.34,221,12.4,8.93,,0.05,0.27,4.06,
12/19/2009 16:00:00,16.3,7.36,225,10.9,9.01,0.25,0.05,0.27,3.92,
12/19/2009 22:00:00,15.8,7.24,226,8.8,8.91,0.25,0.05,0.27,3.99,
12/20/2009 04:00:00,15.7,7.32,225,25.2,8.98,0.25,0.06,0.23,3.9,
12/20/2009 10:00:00,15.7,7.35,228,27.6,9.12,0.25,0.07,0.28,3.98,
12/20/2009 16:00:00,16.1,7.37,233,22.3,9.27,0.25,0.06,0.3,4.01,
12/21/2009 04:00:00,15.3,7.33,241,12,9.15,8.23,0.05,0.32,4.01,
12/21/2009 10:00:00,15.6,7.38,247,10.6,9.26,0.25,0.05,0.34,4.21,
12/21/2009 16:00:00,16.3,7.38,255,10.6,9.27,1.1,0.05,0.38,2.69,
12/21/2009 22:00:00,15.3,7.42,261,7.9,9.2,1.62,0.05,0.36,2.95,
12/22/2009 04:00:00,14.9,7.31,267,8.2,9.09,1.66,0.05,0.34,2.87,
12/22/2009 10:00:00,15.2,7.19,272,7.9,8.98,1.85,0.05,0.34,2.8,
12/22/2009 16:00:00,16.3,7.22,272,14.3,9.14,1.7,0.05,0.03,2.75,
12/22/2009 22:00:00,15.2,7.21,271,8.2,8.95,1.67,0.05,0.34,2.92,
12/23/2009 04:00:00,15,7.26,262,10.8,9.07,1.72,0.05,0.31,2.61,
12/23/2009 10:00:00,15.1,7.31,246,10.3,9.13,1.7,0.05,0.3,2.61,
12/23/2009 16:00:00,15.9,7.34,234,9.3,9.32,1.57,0.05,0.28,2.84,
12/23/2009 22:00:00,15.3,7.31,225,8.4,9.18,1.56,0.05,0.29,2.59,
12/24/2009 04:00:00,15,7.14,221,9.7,9.24,1.51,0.05,0.31,2.04,
12/24/2009 10:00:00,15.3,7.06,221,8.8,9.14,1.66,0.05,0.31,2.04,
12/24/2009 16:00:00,15.9,7.19,223,10.5,9.05,4.33,0.06,0.18,1.35,
12/24/2009 22:00:00,15.6,7.33,228,10.6,8.94,5.33,0.06,0.13,2.34,
12/25/2009 04:00:00,15.5,7.3,234,7.8,8.97,5.22,0.05,0.16,1.25,
12/25/2009 10:00:00,16,7.24,239,8.6,8.93,4.52,0.06,0.18,1.25,
12/25/2009 16:00:00,16.8,7.2,242,8,9.21,1.85,0.06,0.22,3.5,
12/25/2009 22:00:00,16.1,7.22,246,10,8.76,1.75,0.06,0.22,2.34,
12/26/2009 04:00:00,16,7.26,247,7.1,8.83,2.1,0.08,0.22,2.84,
12/26/2009 10:00:00,16,7.26,249,10,8.79,2.1,0.06,0.25,3.82,
12/26/2009 16:00:00,16,7.26,247,4,8.8,1.37,0.06,0.2,4.67,
12/26/2009 21:14:00,,,,,,,,,,
12/26/2009 22:00:00,15.9,7.24,245,14.9,8.76,1.83,0.06,0.18,4.47,
12/27/2009 04:00:00,15.7,7.28,245,12.4,8.76,1.74,0.06,0.17,3.33,
12/27/2009 10:00:00,15.7,7.25,244,11.4,8.6,1.95,0.06,0.2,1.05,
12/27/2009 16:00:00,15.5,7.23,245,11.5,8.55,1.78,0.05,0.18,1.78,
12/27/2009 22:00:00,15,7.29,246,18.3,8.63,1.99,0.05,0.19,2.67,
12/28/2009 04:00:00,14.6,7.24,245,12.5,8.71,1.94,0.06,0.18,2.45,
12/28/2009 10:00:00,14.5,7.22,246,10.2,8.8,2.06,0.06,0.18,2.45,
12/28/2009 16:00:00,15,7.25,244,10.9,8.94,2.07,0.06,0.22,2.64,
12/28/2009 22:00:00,14.5,7.29,243,12.6,8.81,2.13,0.06,0.17,2.47,
12/29/2009 04:00:00,14.5,7.26,239,13.8,8.74,2.05,0.06,0.16,2.55,
12/29/2009 10:00:00,14.7,7.2,232,12.8,8.8,2.08,0.06,0.16,2.55,
12/29/2009 16:00:00,14.9,7.24,226,16.2,8.91,2.02,0.06,0.15,2.4,
12/29/2009 22:00:00,14.7,7.23,220,30.8,8.74,2.17,0.07,0.15,2.41,
12/30/2009 04:00:00,14.6,7.12,214,19,8.69,1.94,0.06,0.17,2.45,
12/30/2009 10:00:00,14.8,7,215,24.1,8.71,2.21,0.06,0.23,2.42,
12/30/2009 16:00:00,15.3,6.98,218,26.2,8.68,2.03,0.06,0.24,1.44,
12/30/2009 22:00:00,15.1,7.07,215,28.6,8.69,2.16,0.07,0.2,,
12/31/2009 04:00:00,14.8,6.99,209,21.6,8.69,1.99,0.06,0.18,1.44,
12/31/2009 10:00:00,15.1,7.11,201,23.1,8.93,1.82,0.06,0.13,1.44,
12/31/2009 16:00:00,15.4,7.22,201,23.9,9.1,1.76,0.05,0.1,1.92,
12/31/2009 22:00:00,14.9,7.27,204,20.7,9.05,1.79,0.06,0.11,1.92,
01/01/2010 04:00:00,14.6,7.27,209,22.9,9.03,1.61,0.08,0.12,2.07,
01/01/2010 10:00:00,14.7,7.26,217,21,9.03,1.82,0.06,0.12,2.07,
01/01/2010 16:00:00,14.7,7.27,220,24.6,9.1,1.92,0.06,0.12,2.12,
01/01/2010 22:00:00,14.6,7.26,218,19.8,8.99,1.87,0.06,0.14,1.18,
01/02/2010 10:00:00,14.7,7.13,213,27.6,8.9,1.91,0.05,0.1,1.66,
01/02/2010 16:00:00,14.8,7.2,212,26.4,8.93,1.84,0.06,0.12,2.05,
01/02/2010 22:00:00,14.8,7.27,217,20.7,8.83,1.8,0.06,0.17,2.16,
01/03/2010 04:00:00,14.8,7.21,217,15.2,8.75,1.65,0.06,0.2,2.21,
01/03/2010 10:00:00,15,7.21,219,17.7,8.69,1.97,0.08,0.4,2.2,
01/03/2010 16:00:00,15.6,7.17,217,18.8,8.7,1.87,0.07,0.26,2.2,
01/03/2010 22:00:00,15.3,7.18,214,18.3,8.7,1.82,0.07,0.19,2.14,
01/04/2010 04:00:00,14.9,7.21,210,20.6,8.76,1.69,0.06,0.15,1.28,
01/04/2010 10:00:00,15,7.23,213,17.4,8.84,1.76,0.09,0.17,2.12,
01/04/2010 16:00:00,15.5,7.23,219,21.7,8.78,1.77,0.07,0.15,2.2,
01/04/2010 22:00:00,15,7.25,222,17.4,8.77,1.84,0.06,0.15,2.35,
01/05/2010 04:00:00,14.7,7.23,219,16.8,8.75,1.58,0.06,0.16,2.12,
01/05/2010 10:00:00,15,7.22,220,26.9,8.69,1.82,0.07,0.19,2.28,
01/05/2010 16:00:00,15,7.22,216,26.3,8.73,1.86,0.06,0.15,2.04,
01/05/2010 22:00:00,14.7,7.27,217,21,8.71,1.94,0.07,0.16,2.15,
01/06/2010 04:00:00,14.5,7.19,213,19.1,8.68,,0.06,0.17,2.15,
01/06/2010 10:00:00,14.6,7.16,206,20,8.74,2.93,0.06,0.17,2.21,
01/06/2010 16:00:00,14.8,7.21,206,21.3,8.62,1.94,0.07,0.2,2.33,
01/06/2010 22:00:00,14.6,7.16,212,20.2,8.61,2.1,0.07,0.19,2.1,
01/07/2010 04:00:00,14.6,7.16,207,13.4,8.68,1.87,0.06,0.2,2.32,
01/07/2010 10:00:00,14.7,7.18,201,20.4,8.75,1.31,0.07,0.18,2.32,
01/07/2010 16:00:00,14.7,7.18,204,18.1,8.87,1.62,0.07,0.14,1.69,
01/07/2010 22:00:00,14.5,7.19,210,26.3,8.9,1.83,0.07,0.15,3.1,
01/08/2010 04:00:00,14.4,7.22,212,14.7,8.99,1.71,0.06,0.16,1.88,
01/08/2010 10:00:00,14.4,7.22,217,19.8,8.91,1.8,0.06,0.17,3.09,
01/08/2010 16:00:00,14.5,7.19,232,26.8,8.79,1.91,0.07,0.21,2.75,
01/08/2010 22:00:00,14.4,7.28,250,18.6,8.74,1.98,0.07,0.27,2.75,
01/09/2010 04:00:00,14.1,7.15,258,12.6,8.6,1.72,0.06,0.29,2.04,
01/09/2010 10:00:00,14.5,7.15,258,17.8,8.58,1.88,0.07,0.28,2.04,
01/09/2010 16:00:00,15.2,7.14,257,20.1,8.5,1.91,0.07,0.28,3.39,
01/09/2010 22:00:00,14.8,7.12,258,25.3,8.41,1.87,0.07,0.23,3.39,
01/10/2010 04:00:00,14.6,7.13,259,14.2,8.5,1.73,0.06,0.27,2.4,
01/10/2010 10:00:00,15,7.16,257,15.3,8.49,1.81,0.06,0.29,2.4,
01/10/2010 16:00:00,16.2,7.15,257,13.9,8.4,1.64,0.05,0.31,2.4,
01/10/2010 22:00:00,15.5,7.13,256,14.4,8.15,1.73,0.09,0.33,3.42,
01/11/2010 04:00:00,15.4,7.09,254,10.4,8.09,1.56,0.06,0.32,1.92,
01/11/2010 10:00:00,15.5,7.04,252,10.6,7.99,1.65,0.06,0.28,3.37,
01/11/2010 16:00:00,15.5,7.04,247,21.4,7.88,1.83,0.08,0.27,2.76,
01/11/2010 19:41:00,15.5,7.17,248,17.8,7.9,1.62,0.06,0.2,2.83,
01/11/2010 22:00:00,15.5,7.12,240,19,8.25,1.55,0.06,0.23,2.8,
01/12/2010 04:00:00,15.1,7.14,234,13.1,8.26,1.7,0.06,0.24,1.82,
01/12/2010 10:00:00,14.9,7.16,224,10.4,8.53,1.81,0.06,0.24,3.17,
01/12/2010 16:00:00,15.2,7.19,221,13.3,8.5,1.84,0.07,0.37,2.32,
01/12/2010 22:00:00,14.4,7.16,213,15.8,8.57,1.83,0.07,0.27,2.32,
01/13/2010 04:00:00,13.8,7.16,210,15.3,8.69,1.89,0.06,0.25,2.36,
01/13/2010 10:00:00,14.1,7.17,208,15.2,8.86,2.05,0.06,0.23,3.27,
01/13/2010 16:00:00,14.5,7.2,211,19.9,8.88,1.96,0.07,0.25,3.27,
01/13/2010 22:00:00,14,7.18,215,18.3,8.94,2.11,0.07,0.28,3.3,
01/14/2010 04:00:00,13.7,7.16,220,14.3,8.93,1.94,0.06,0.29,2.04,
01/14/2010 16:00:00,14.6,7.28,211,14.9,9.08,1.93,0.06,0.22,1.95,
01/14/2010 22:00:00,14,7.14,203,14.3,9.11,2.02,0.06,0.2,2.21,
01/15/2010 04:00:00,13.6,7.1,198,10.2,9.19,1.98,0.06,0.25,3.12,
01/15/2010 10:00:00,13.9,7.12,191,15.2,9.31,2.26,0.06,0.18,3.12,
01/15/2010 16:00:00,14.5,7.17,170,35.5,9.43,2.14,0.08,0.1,2.53,
01/15/2010 22:00:00,14,7.21,170,32.2,9.64,2.01,0.08,0.11,2.53,
01/16/2010 04:00:00,13.8,7.23,178,26.4,9.55,1.93,0.07,0.16,2.06,
01/16/2010 10:00:00,14,7.24,183,22.7,9.65,1.94,0.07,0.13,1.76,
01/16/2010 16:00:00,14.4,7.25,184,22,9.62,1.89,0.07,0.13,1.82,
01/16/2010 22:00:00,13.9,7.24,187,20.7,9.51,1.72,0.07,0.19,2.12,
01/17/2010 04:00:00,13.6,7.18,194,12.9,9.46,1.6,0.06,0.2,1.97,
01/17/2010 10:00:00,14,7.16,196,14,9.32,1.79,0.07,0.22,1.51,
01/17/2010 16:00:00,15,7.29,199,11.9,9.25,1.64,0.07,0.24,2.11,
01/17/2010 22:00:00,14.5,7.14,200,14.1,9.13,1.58,0.07,0.27,1.55,
01/18/2010 04:00:00,14.3,7.13,195,12.1,9.14,1.58,0.06,0.24,1.57,
01/18/2010 10:00:00,14.5,7.15,189,14.3,9.04,1.88,0.07,0.22,1.95,
01/18/2010 16:00:00,15.6,7.16,187,11.9,9.09,1.59,0.09,0.19,1.82,
01/18/2010 22:00:00,14.8,7.17,184,14.2,9.02,1.65,0.06,0.22,1.9,
01/19/2010 04:00:00,14.6,7.17,186,11.8,9.02,1.49,0.06,0.19,1.98,
01/19/2010 10:00:00,14.6,7.15,190,13.9,9,1.57,0.07,0.22,1.93,
01/19/2010 16:00:00,15.5,7.14,194,16,9.04,1.81,0.07,0.2,1.73,
01/19/2010 22:00:00,15.4,7.14,196,14,9.03,1.57,0.09,0.18,2.15,
01/20/2010 04:00:00,15.2,7.14,203,9.4,8.92,1.36,0.06,0.2,2.08,
01/20/2010 10:00:00,15.7,7.12,202,9.4,8.8,1.53,0.06,0.23,2.55,
01/20/2010 16:00:00,16.4,7.24,205,8,8.83,1.6,0.06,0.23,2.29,
01/20/2010 22:00:00,16,7.1,203,10.8,8.47,1.56,0.06,0.23,2.14,
01/21/2010 04:00:00,16,7.06,204,8.6,8.36,1.22,0.06,0.28,1.89,
01/21/2010 10:00:00,16.7,7.01,203,8.7,8.35,1.42,0.08,0.25,3.47,
01/21/2010 16:00:00,17.8,6.99,203,9.2,8.46,1.46,0.06,0.2,0.05,
01/21/2010 22:00:00,16.7,6.99,202,11.5,8.14,1.79,0.07,0.34,0.05,
01/22/2010 04:00:00,16.7,6.95,203,16,8.15,1.52,0.07,0.25,0.05,
01/22/2010 10:00:00,16.3,6.9,197,16.9,8.29,1.81,0.07,0.23,0.05,
01/22/2010 16:00:00,16.2,6.88,197,16.5,8.38,1.67,0.07,0.21,0.05,
01/22/2010 22:00:00,15.8,6.94,195,16.6,8.47,1.8,0.07,0.24,0.05,
01/23/2010 04:00:00,15.5,7.02,195,12.5,8.25,1.38,0.1,0.31,0.05,
01/23/2010 10:00:00,15.4,7.02,196,15.7,8.2,1.62,0.08,0.31,0.05,
01/23/2010 16:00:00,15.4,7.17,195,11.9,8.35,1.6,0.08,0.32,0.99,
01/23/2010 22:00:00,15.3,7.02,191,15,8.33,1.64,0.08,0.25,0.43,
01/24/2010 04:00:00,15.2,7.01,189,13.8,8.53,1.62,0.07,0.19,0.43,
01/24/2010 10:00:00,15.2,7.02,189,12.6,8.82,1.68,0.07,0.14,1.69,
01/24/2010 16:00:00,15.4,7.08,182,15.6,8.73,1.46,0.07,0.17,0.83,
01/24/2010 22:00:00,15.3,7.09,175,21.3,9.02,1.1,0.07,0.11,0.26,
01/25/2010 04:00:00,15.3,7.1,179,14.9,8.95,1.25,0.07,0.17,1.9,
01/25/2010 10:00:00,15.7,7.09,186,16.5,8.91,2.54,0.09,0.14,1.05,
01/25/2010 16:00:00,16.3,7.12,188,16.2,9.03,1.09,0.07,0.14,0.4,
01/25/2010 22:00:00,16.1,7.14,185,13.4,8.94,1.17,0.06,0.12,2.16,
01/26/2010 04:00:00,15.9,7.13,185,11.4,8.93,1.14,0.06,0.15,0.1,
01/26/2010 10:00:00,16.2,7.11,189,10.4,9.05,1.37,0.06,0.13,2.18,
01/26/2010 16:00:00,16.2,7.26,200,16.5,9.08,1.31,0.06,0.11,0.05,
01/27/2010 04:00:00,16,7.11,187,13.4,9.05,1.73,0.06,0.11,0.05,
01/27/2010 10:00:00,16.1,7.11,196,20.9,8.99,1.81,0.06,0.12,0.05,
01/27/2010 16:00:00,16.6,7.1,202,16.3,9.01,1.58,0.06,0.13,,
01/27/2010 22:00:00,16.4,7.12,196,18.8,9,1.71,0.06,0.12,0.7,
01/28/2010 04:00:00,16.5,7.11,194,13.1,8.97,1.47,0.06,0.13,1.45,
01/28/2010 10:00:00,16.7,7.12,187,20.7,9.07,1.6,0.06,0.09,0.05,
01/28/2010 16:00:00,17,6.49,182,22.6,9.57,1.48,0.07,0.12,,
01/28/2010 22:00:00,16.7,7.14,182,20.1,9.52,1.54,0.07,0.17,3.55,
01/29/2010 04:00:00,16.5,7.14,186,18.5,9.42,1.51,0.06,0.18,1.63,
01/29/2010 10:00:00,16.7,7.14,192,15.5,9.3,1.54,0.06,0.13,2.31,
01/29/2010 16:00:00,17.5,7.22,195,14.6,9.33,1.51,0.06,0.16,1.74,
01/29/2010 22:00:00,16.9,7.14,198,13.1,9.13,1.52,0.06,0.22,1.52,
01/30/2010 04:00:00,16.8,6.95,201,16.1,9.1,1.65,0.06,0.22,2.93,
01/30/2010 10:00:00,17,6.99,196,13.7,9.18,1.52,0.06,0.13,3.01,
01/30/2010 16:00:00,17.5,7.12,201,15.7,9.08,1.54,0.06,0.14,1.75,
01/30/2010 22:00:00,17.1,7.12,203,13.1,9.06,1.66,0.06,0.15,2.44,
01/31/2010 04:00:00,17,7.14,203,23.8,9.31,1.59,0.1,0.14,2.3,
01/31/2010 10:00:00,16.9,7.14,210,21.5,9.21,1.67,0.07,0.2,1.16,
01/31/2010 16:00:00,17.6,7.14,212,20.5,9.22,1.67,0.07,0.17,1.35,
01/31/2010 22:00:00,17.4,7.12,214,17.5,8.97,1.68,0.07,0.21,2.6,
02/01/2010 04:00:00,17.1,6.98,216,13.1,8.77,1.54,0.09,0.27,1.83,
02/01/2010 10:00:00,17.6,6.84,212,12.3,8.87,1.67,0.07,0.24,2.59,
02/01/2010 16:00:00,18.6,6.9,212,9,9.01,1.86,0.06,0.19,2.02,
02/01/2010 22:00:00,18,6.97,211,8.5,8.86,1.71,0.07,0.22,1.69,
02/02/2010 04:00:00,17.7,7.08,214,8.6,8.77,1.45,0.07,0.21,1.97,
02/02/2010 10:00:00,17.5,7.08,213,8.9,8.75,1.65,0.07,0.21,0.86,
02/02/2010 22:00:00,17.6,7.1,211,7.9,8.77,1.63,0.08,9.18,2.07,
02/03/2010 04:00:00,17.4,7.08,207,11.5,8.12,1.66,0.08,4.8,1.4,
