时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮,总氮,叶绿素,藻青蛋白
02/06/2009 04:48:00,16.90,7.14,254.00,23.30,5.74,2.50,0.22,2.25,,8.10,2320.00
02/06/2009 06:24:00,16.90,7.15,253.00,19.20,5.67,2.60,0.16,2.23,,7.40,1905.00
02/06/2009 08:00:00,17.00,7.15,251.00,17.80,5.66,2.60,0.14,2.27,,7.80,1782.00
02/06/2009 09:36:00,17.00,7.13,251.00,18.30,6.12,2.50,0.18,2.21,,7.20,1889.00
02/06/2009 11:12:00,17.10,7.15,249.00,19.90,5.61,2.60,0.20,2.18,,6.90,1994.00
02/06/2009 12:48:00,17.40,7.14,246.00,26.40,5.78,2.90,0.22,2.14,,5.20,2665.00
02/06/2009 14:24:00,17.60,7.15,244.00,25.70,5.44,2.10,0.22,2.03,,6.40,2580.00
02/06/2009 16:00:00,17.60,7.14,239.00,27.40,5.38,1.90,0.16,1.75,,6.90,2748.00
02/06/2009 17:36:00,18.40,7.12,233.00,20.60,5.80,2.20,0.16,1.84,,5.50,2056.00
02/06/2009 22:24:00,17.00,7.15,214.00,38.40,6.44,3.40,0.25,1.90,,6.90,3867.00
02/07/2009 00:00:00,16.90,7.15,210.00,40.90,6.35,2.80,0.26,1.58,,10.30,4119.00
02/07/2009 01:36:00,16.80,7.15,208.00,48.50,6.34,3.10,0.17,1.48,,9.00,4846.00
02/07/2009 03:12:00,16.70,7.15,204.00,44.60,6.18,1.80,0.14,1.55,,9.80,4449.00
02/07/2009 04:48:00,16.70,7.15,203.00,55.60,6.43,1.90,0.13,1.43,,11.70,5524.00
02/07/2009 06:24:00,16.60,7.15,201.00,51.80,5.93,2.90,0.25,1.37,,10.50,5175.00
02/07/2009 08:00:00,16.70,7.15,200.00,39.20,3.89,2.90,0.25,1.35,,13.70,3926.00
02/07/2009 09:36:00,16.80,7.17,200.00,49.30,5.71,2.40,0.25,1.56,,9.30,4935.00
02/07/2009 11:12:00,17.10,7.18,198.00,46.70,5.67,2.90,0.17,1.59,,8.90,4699.00
02/07/2009 12:48:00,17.40,7.18,196.00,45.60,5.74,2.70,0.14,1.48,,7.20,4549.00
02/07/2009 14:24:00,17.60,7.18,194.00,48.90,5.52,1.70,0.13,1.41,,7.40,4870.00
02/07/2009 16:00:00,17.50,7.17,190.00,56.40,5.52,1.90,0.24,1.45,,9.60,5615.00
02/07/2009 17:36:00,17.40,7.16,184.00,47.80,5.70,3.20,0.24,1.29,,11.50,4721.00
02/07/2009 19:12:00,17.20,7.14,177.00,59.10,5.58,3.10,0.24,1.22,,9.20,5886.00
02/07/2009 20:48:00,17.00,7.13,168.00,51.40,5.50,3.20,0.23,1.13,,8.00,5053.00
02/07/2009 22:24:00,16.80,7.11,156.00,52.70,5.81,2.70,0.17,1.07,,7.20,5263.00
02/08/2009 00:00:00,16.60,7.11,145.00,49.10,5.99,2.50,0.14,0.92,,6.40,4843.00
02/08/2009 01:36:00,16.40,7.10,138.00,42.90,5.70,2.30,0.13,0.76,,6.10,4267.00
02/08/2009 03:12:00,16.30,7.10,128.00,43.20,6.10,2.70,0.20,0.73,,5.80,4339.00
02/08/2009 04:48:00,16.20,7.10,126.00,39.00,5.92,3.20,0.19,0.65,,6.20,3881.00
02/08/2009 06:24:00,16.10,7.10,119.00,33.80,6.36,2.50,0.18,0.53,,6.10,3334.00
02/08/2009 08:00:00,16.20,6.89,121.00,35.00,6.65,2.30,0.18,0.54,,6.30,3543.00
02/08/2009 09:36:00,16.50,7.10,118.00,39.00,6.87,2.70,0.17,0.52,,7.60,4125.00
02/08/2009 11:12:00,16.70,7.12,114.00,51.70,6.53,2.10,0.16,0.46,,5.70,5156.00
02/08/2009 12:48:00,16.90,7.13,113.00,33.40,6.60,3.00,0.16,0.38,,5.70,3282.00
02/08/2009 14:24:00,17.80,7.17,112.00,28.90,6.68,2.40,0.13,0.43,,7.40,2893.00
02/08/2009 16:00:00,18.40,7.24,112.00,28.60,7.12,1.40,0.11,0.48,,8.80,2843.00
02/08/2009 17:36:00,18.20,7.25,112.00,33.60,6.99,1.60,0.11,0.39,,8.60,3363.00
02/08/2009 19:12:00,18.40,7.28,116.00,31.70,7.32,2.20,0.12,0.51,,7.60,3177.00
02/08/2009 20:48:00,18.20,7.27,114.00,26.20,7.19,1.60,0.14,0.43,,7.30,2589.00
02/08/2009 22:24:00,18.00,7.26,113.00,68.30,7.38,2.10,0.14,0.40,,7.00,6811.00
02/09/2009 00:00:00,17.20,7.26,108.00,24.50,7.16,2.50,0.12,0.38,,6.40,2449.00
02/09/2009 01:36:00,16.60,7.23,105.00,27.50,7.10,2.70,0.11,0.35,,6.10,2730.00
02/09/2009 03:12:00,16.40,7.23,105.00,58.40,7.43,2.10,0.10,0.30,,6.60,5824.00
02/09/2009 04:48:00,16.40,7.25,106.00,27.70,7.29,1.90,0.09,0.28,,7.20,2768.00
02/09/2009 06:24:00,16.30,7.26,107.00,32.30,7.37,2.50,0.12,0.32,,6.40,3246.00
02/09/2009 08:00:00,16.30,7.28,106.00,28.10,7.16,3.10,0.11,0.29,,7.20,2857.00
02/09/2009 09:36:00,16.30,7.27,106.00,30.20,7.27,2.80,0.11,0.31,,6.80,3051.00
02/09/2009 11:12:00,16.80,7.35,107.00,26.90,7.58,2.60,0.10,0.32,,4.70,2682.00
02/09/2009 12:48:00,16.80,7.32,108.00,33.10,7.16,2.90,0.09,0.32,,4.90,3334.00
02/09/2009 14:24:00,16.90,7.33,107.00,29.30,7.44,2.30,0.09,0.33,,5.60,2883.00
02/09/2009 16:00:00,17.20,7.38,107.00,27.20,7.64,2.30,0.09,0.32,,15.00,2726.00
02/09/2009 17:36:00,17.20,7.38,107.00,27.20,7.64,2.30,,0.32,,15.00,2726.00
02/09/2009 19:12:00,17.20,7.38,107.00,27.20,7.64,2.30,,0.32,,15.00,2726.00
02/09/2009 22:54:00,18.00,7.37,12.00,36.60,7.84,1.90,0.11,0.30,,7.70,3658.00
02/10/2009 00:30:00,16.80,7.30,106.00,27.50,7.66,1.90,0.10,0.30,,6.60,2756.00
02/10/2009 02:06:00,16.60,7.26,104.00,33.20,7.42,2.60,0.11,0.33,,6.80,3290.00
02/10/2009 03:42:00,16.40,7.23,102.00,27.50,6.99,2.80,0.11,0.33,,6.30,2726.00
02/10/2009 05:18:00,16.50,7.21,102.00,28.70,7.58,2.50,0.11,0.30,,6.60,2748.00
02/10/2009 06:54:00,16.50,7.18,107.00,28.10,7.34,2.60,0.11,0.32,,6.50,2697.00
02/10/2009 08:00:00,16.40,7.19,101.00,359.80,5.12,1.30,0.08,0.31,,27.10,
02/10/2009 09:36:00,16.40,7.21,101.00,23.20,7.13,2.40,0.11,0.35,,11.20,2302.00
02/10/2009 11:12:00,16.90,7.28,100.00,26.90,7.27,1.90,0.10,0.30,,8.40,2670.00
02/10/2009 12:48:00,17.30,7.33,101.00,23.50,7.77,2.70,0.10,0.29,,11.40,2341.00
02/10/2009 14:24:00,17.90,7.55,101.00,24.80,8.07,1.40,0.09,0.26,,16.70,2463.00
02/10/2009 16:00:00,17.90,7.62,102.00,24.60,8.81,2.00,0.08,0.27,,16.70,2443.00
02/10/2009 17:36:00,17.80,7.61,101.00,28.70,8.53,1.90,0.08,0.27,,15.90,2872.00
02/10/2009 19:12:00,17.70,7.72,103.00,21.70,8.79,1.90,0.08,0.29,,10.20,2168.00
02/10/2009 20:48:00,17.60,7.63,102.00,19.80,8.61,2.00,0.10,0.27,,12.70,1973.00
02/10/2009 22:24:00,17.30,7.37,104.00,23.00,7.61,2.10,0.10,0.31,,14.60,2281.00
02/11/2009 00:00:00,17.20,7.29,107.00,19.90,7.45,1.90,0.11,0.32,,11.40,1977.00
02/11/2009 01:36:00,17.00,7.22,109.00,22.90,7.30,2.10,0.09,0.32,,10.50,2271.00
02/11/2009 03:12:00,16.90,7.19,111.00,22.90,7.06,1.60,0.08,0.33,,6.90,2309.00
02/11/2009 04:48:00,16.90,7.17,112.00,25.40,6.74,2.60,0.08,0.32,,7.80,2533.00
02/11/2009 06:24:00,16.80,7.16,110.00,26.90,6.34,1.50,0.12,0.35,,8.30,2648.00
02/11/2009 08:00:00,16.80,7.16,111.00,25.40,6.64,2.10,0.12,0.32,,6.90,2528.00
02/11/2009 09:36:00,16.90,7.16,112.00,24.30,6.80,2.20,0.12,0.35,,5.80,2451.00
02/11/2009 11:12:00,17.30,7.15,111.00,22.60,6.61,2.10,0.10,0.33,,4.70,2240.00
02/11/2009 12:48:00,18.20,7.18,113.00,24.80,6.90,2.50,0.08,0.33,,,2476.00
02/11/2009 14:24:00,18.10,7.19,113.00,24.10,7.10,2.20,0.08,0.32,,6.00,2393.00
02/11/2009 16:00:00,18.10,7.22,112.00,21.80,6.78,2.10,0.12,0.32,,8.90,2188.00
02/11/2009 17:36:00,18.00,7.24,110.00,21.90,7.29,1.90,0.12,0.30,,12.60,2190.00
02/11/2009 19:12:00,17.70,7.19,111.00,45.30,7.29,2.60,0.12,0.31,,9.10,4494.00
02/11/2009 20:48:00,17.40,7.15,109.00,25.80,6.76,2.60,0.10,0.31,,7.20,2575.00
02/11/2009 22:24:00,17.40,7.17,106.00,33.00,7.08,1.90,0.09,0.30,,7.60,3312.00
02/12/2009 00:00:00,17.40,7.17,106.00,24.90,7.24,1.80,0.09,0.34,,8.20,2491.00
02/12/2009 01:36:00,17.30,7.15,106.00,28.70,6.59,2.50,0.12,0.32,,6.90,2869.00
02/12/2009 03:12:00,17.10,7.16,106.00,24.50,7.21,2.10,0.12,0.31,,6.40,2448.00
02/12/2009 04:48:00,17.00,7.15,102.00,27.00,6.82,2.20,0.12,0.30,,7.10,2696.00
02/12/2009 06:24:00,16.90,7.15,103.00,25.90,6.62,2.00,0.10,0.31,,6.00,2585.00
02/12/2009 08:00:00,16.80,7.14,103.00,38.70,6.74,2.20,0.08,0.33,,6.30,3866.00
02/12/2009 09:36:00,16.90,7.15,104.00,27.50,6.75,1.90,0.08,0.31,,5.70,2751.00
02/12/2009 11:12:00,17.30,7.15,104.00,44.20,6.80,2.20,0.08,0.30,,5.40,4431.00
02/12/2009 12:48:00,17.90,7.18,105.00,23.80,6.76,2.70,0.11,0.30,,5.20,2385.00
02/12/2009 14:24:00,18.00,7.21,106.00,24.40,7.49,1.90,0.11,0.29,,9.60,2402.00
02/12/2009 16:00:00,17.90,7.23,108.00,21.70,7.47,2.10,0.11,0.31,,10.30,2163.00
02/12/2009 17:36:00,17.80,7.22,108.00,21.20,7.11,2.00,0.09,0.31,,11.30,2117.00
02/12/2009 19:12:00,17.70,7.22,108.00,21.50,7.05,1.70,0.08,0.30,,11.30,2151.00
02/12/2009 20:48:00,17.60,7.21,113.00,28.10,7.45,2.60,0.08,0.29,,10.00,2774.00
02/12/2009 22:24:00,17.60,7.19,114.00,24.90,6.80,2.70,0.11,0.33,,8.60,2431.00
02/13/2009 00:00:00,17.60,7.19,115.00,21.40,7.03,1.60,0.11,0.32,,9.70,2163.00
02/13/2009 01:36:00,17.60,7.18,116.00,20.50,7.29,1.60,0.11,0.30,,9.00,2045.00
02/13/2009 03:12:00,17.50,7.19,116.00,24.80,6.90,2.60,0.09,0.32,,8.10,2473.00
02/13/2009 04:48:00,17.50,7.18,117.00,25.20,6.84,1.70,0.08,0.32,,8.00,2534.00
02/13/2009 06:24:00,17.40,7.17,116.00,21.40,6.97,2.20,0.08,0.31,,7.20,2143.00
02/13/2009 08:00:00,17.50,7.17,117.00,24.10,6.77,1.70,0.11,0.34,,8.60,2388.00
02/13/2009 09:36:00,17.90,7.19,117.00,19.70,7.11,2.60,0.11,0.32,,4.90,1963.00
02/13/2009 11:12:00,18.00,7.21,116.00,20.30,7.26,2.10,0.11,0.28,,6.20,2021.00
02/13/2009 12:48:00,18.30,7.23,116.00,19.00,6.71,2.40,0.09,0.32,,9.70,1878.00
02/13/2009 14:24:00,18.20,7.25,116.00,19.30,7.21,1.90,0.08,0.31,,15.30,1910.00
02/13/2009 16:00:00,18.20,7.27,117.00,16.70,7.19,1.80,0.08,0.28,,17.60,1660.00
02/13/2009 17:36:00,18.50,7.51,115.00,16.10,8.36,2.40,0.10,0.26,,28.20,1610.00
02/13/2009 19:12:00,17.90,7.22,120.00,18.00,7.07,2.50,0.11,0.34,,12.60,1812.00
02/13/2009 20:48:00,17.70,7.18,122.00,21.30,6.95,2.60,0.11,0.34,,8.90,2112.00
02/13/2009 22:24:00,17.70,7.19,128.00,33.10,6.96,2.70,0.09,0.37,,7.80,3321.00
02/14/2009 00:00:00,17.70,7.19,130.00,28.90,6.57,2.00,0.08,0.40,,6.30,2865.00
02/14/2009 01:36:00,17.70,7.20,132.00,24.30,7.01,2.20,0.08,0.37,,6.60,2418.00
02/14/2009 03:12:00,17.70,7.21,132.00,29.40,6.96,2.20,0.08,0.40,,7.00,2952.00
02/14/2009 04:48:00,17.70,7.20,134.00,23.10,6.59,2.50,0.13,0.39,,8.30,2296.00
02/14/2009 06:24:00,17.60,7.20,136.00,21.80,6.27,2.70,0.13,0.38,,7.60,2166.00
02/14/2009 08:00:00,17.60,7.21,138.00,21.10,6.78,2.50,0.13,0.40,,9.40,2076.00
02/14/2009 09:36:00,17.80,7.23,141.00,42.10,6.76,2.40,0.10,0.38,,8.60,4201.00
02/14/2009 11:12:00,19.00,7.26,145.00,19.00,7.06,2.70,0.09,0.38,,6.00,1896.00
02/14/2009 12:48:00,18.60,7.29,144.00,23.40,7.09,2.30,0.08,0.40,,8.70,2338.00
02/14/2009 14:24:00,19.90,7.38,147.00,117.60,7.53,2.40,0.13,0.37,,9.40,11774.00
02/14/2009 16:00:00,20.30,7.50,145.00,21.20,7.88,3.10,0.13,0.37,,15.00,2110.00
02/14/2009 17:36:00,20.10,7.56,144.00,36.70,8.09,2.90,0.12,0.38,,15.60,3678.00
02/14/2009 19:12:00,20.10,7.59,142.00,23.20,8.25,2.40,0.10,0.37,,12.00,2326.00
02/14/2009 20:48:00,20.00,7.58,143.00,16.30,8.27,2.90,0.09,0.35,,11.30,1631.00
02/14/2009 22:24:00,20.00,7.52,143.00,16.80,7.63,2.20,0.08,0.37,,10.40,1678.00
02/15/2009 00:00:00,19.80,7.42,146.00,17.20,7.10,2.00,0.12,0.39,,9.90,1709.00
02/15/2009 01:36:00,19.80,7.44,145.00,16.10,7.87,2.50,0.12,0.34,,10.00,1610.00
02/15/2009 03:12:00,19.70,7.39,145.00,17.90,7.34,2.30,0.12,0.31,,10.60,1789.00
02/15/2009 04:48:00,19.50,7.33,146.00,43.40,7.38,2.00,0.09,0.39,,10.10,4331.00
02/15/2009 06:24:00,19.20,7.29,148.00,19.30,7.23,2.20,0.08,0.35,,9.20,1915.00
02/15/2009 08:00:00,18.90,7.24,149.00,20.70,6.78,2.00,0.08,0.36,,8.80,2073.00
02/15/2009 09:36:00,18.70,7.24,150.00,18.30,6.46,1.70,0.13,0.38,,8.00,1820.00
02/15/2009 11:12:00,18.70,7.24,152.00,17.80,6.64,1.70,0.13,0.38,,6.40,1773.00
02/15/2009 12:48:00,19.30,7.37,149.00,15.50,7.36,2.10,0.13,0.32,,10.50,1543.00
02/15/2009 14:24:00,19.70,7.53,147.00,16.10,7.87,2.20,0.10,0.34,,15.60,1585.00
02/15/2009 16:00:00,19.60,7.55,147.00,18.20,7.66,2.40,0.09,0.32,,21.20,1822.00
02/15/2009 17:36:00,19.40,7.52,150.00,20.60,7.82,1.30,0.08,0.31,,22.30,2056.00
02/15/2009 19:12:00,19.20,7.43,149.00,17.90,7.45,2.20,0.08,0.29,,16.80,1785.00
02/15/2009 20:48:00,18.90,7.34,150.00,17.90,7.32,1.70,0.09,0.35,,14.20,1788.00
02/15/2009 22:24:00,19.80,7.46,148.00,16.90,7.36,3.20,0.11,0.37,,15.00,1946.00
02/16/2009 00:00:00,18.80,7.32,150.00,16.60,7.10,1.40,0.13,0.35,,11.30,1641.00
02/16/2009 01:36:00,18.70,7.28,149.00,16.30,6.62,2.70,0.10,0.40,,10.20,1624.00
02/16/2009 03:12:00,18.70,7.28,148.00,199.40,6.84,1.90,0.09,0.40,,10.30,19943.00
02/16/2009 04:48:00,18.70,7.28,149.00,15.50,7.02,2.10,0.09,0.38,,11.40,1546.00
02/16/2009 06:24:00,18.70,7.29,148.00,28.40,7.05,2.10,0.13,0.34,,11.90,2828.00
02/16/2009 08:00:00,18.70,7.33,148.00,24.60,6.87,2.50,0.13,0.40,,16.30,2645.00
02/16/2009 09:36:00,18.70,7.27,147.00,14.60,6.95,1.90,0.10,0.36,,22.10,1444.00
02/16/2009 11:12:00,18.70,7.32,147.00,16.80,7.70,2.60,0.10,0.33,,28.80,1692.00
02/16/2009 12:48:00,18.60,7.31,147.00,14.10,7.28,1.90,0.09,0.36,,15.80,1411.00
02/16/2009 14:24:00,18.70,7.36,146.00,14.40,7.29,2.10,0.09,0.38,,23.10,1422.00
02/16/2009 16:00:00,18.40,7.27,139.00,22.10,6.55,1.50,0.13,0.40,,15.30,2215.00
02/16/2009 17:36:00,18.60,7.18,138.00,14.90,4.03,1.50,0.13,0.41,,12.40,1498.00
02/16/2009 19:12:00,18.60,7.25,139.00,16.50,5.61,1.90,0.12,0.42,,11.80,2547.00
02/16/2009 20:48:00,18.50,7.21,140.00,27.50,7.38,1.70,0.12,0.40,,10.60,2432.00
02/16/2009 22:24:00,18.60,7.25,141.00,24.10,6.32,2.20,0.09,0.37,,13.70,2500.00
02/17/2009 00:00:00,18.60,7.24,143.00,28.40,6.42,2.30,0.09,0.38,,11.80,2439.00
02/17/2009 01:36:00,18.60,7.23,145.00,20.60,6.51,1.90,0.13,0.39,,9.80,2356.00
02/17/2009 03:12:00,18.60,7.22,146.00,27.20,6.57,2.50,0.13,0.40,,8.20,2289.00
02/17/2009 04:48:00,18.60,7.22,148.00,18.20,6.04,2.60,0.14,0.40,,7.80,2301.00
02/17/2009 06:24:00,18.60,7.21,149.00,18.30,5.72,2.60,0.11,0.38,,8.20,2253.00
02/17/2009 08:00:00,18.60,7.21,149.00,19.40,6.30,2.40,0.09,0.39,,7.30,2300.00
02/17/2009 09:36:00,18.60,7.21,150.00,19.40,6.20,2.30,0.09,0.42,,7.40,2347.00
02/17/2009 11:12:00,18.70,7.21,151.00,18.80,6.00,2.20,0.09,0.40,,6.80,2327.00
02/17/2009 12:48:00,18.70,7.23,151.00,17.80,6.24,1.70,0.13,0.40,,8.50,2411.00
02/17/2009 14:24:00,18.80,7.24,152.00,17.70,6.43,2.20,0.14,0.36,,10.20,2485.00
02/17/2009 16:00:00,18.80,7.24,153.00,19.10,6.08,2.50,0.14,0.40,,9.60,2431.00
02/17/2009 17:36:00,18.70,7.23,153.00,21.50,6.01,2.50,0.11,0.41,,7.40,2330.00
02/17/2009 19:12:00,18.70,7.23,155.00,20.20,6.01,2.30,0.10,0.42,,7.60,2301.00
02/17/2009 20:48:00,18.70,7.24,157.00,19.50,5.95,2.50,0.09,0.40,,6.60,2317.00
02/17/2009 22:24:00,18.70,7.26,159.00,22.40,6.10,2.20,0.14,0.39,,6.60,2273.00
02/18/2009 00:00:00,18.70,7.28,162.00,19.70,5.95,2.60,0.14,0.40,,7.20,2308.00
02/18/2009 01:36:00,18.70,7.31,164.00,20.70,6.16,2.90,0.14,0.39,,7.50,2276.00
02/18/2009 03:12:00,18.60,7.33,169.00,19.90,6.18,2.70,0.11,0.35,,7.20,2281.00
02/18/2009 04:48:00,18.70,7.35,172.00,22.20,6.38,2.10,0.09,0.37,,6.20,2243.00
02/18/2009 06:24:00,18.60,7.33,175.00,17.00,5.87,2.20,0.09,0.33,,7.50,2250.00
02/18/2009 08:00:00,18.60,7.34,178.00,16.60,6.17,1.90,0.13,0.35,,6.70,1920.00
02/18/2009 09:36:00,19.00,7.41,181.00,17.70,5.98,2.10,0.12,0.35,,5.90,1805.00
02/18/2009 11:12:00,19.60,7.49,182.00,14.30,6.99,2.70,0.12,0.32,,8.10,2026.00
02/18/2009 12:48:00,19.80,7.52,183.00,25.60,7.15,2.30,0.10,0.37,,6.60,2004.00
02/18/2009 14:24:00,20.70,7.60,182.00,24.60,7.04,2.00,0.09,0.32,,6.20,2034.00
02/18/2009 16:00:00,20.90,7.86,179.00,18.60,8.43,2.10,0.09,0.28,,14.90,2621.00
02/18/2009 17:36:00,20.60,7.77,181.00,14.20,7.97,2.40,0.11,0.31,,11.20,2200.00
02/18/2009 19:12:00,20.30,7.74,179.00,19.00,7.55,2.00,0.11,0.31,,8.10,2048.00
02/18/2009 20:48:00,20.20,7.70,182.00,14.10,7.98,2.30,0.09,0.29,,7.70,2014.00
02/18/2009 22:24:00,20.10,7.56,183.00,11.30,5.17,2.50,0.10,0.30,,9.20,2189.00
02/19/2009 00:00:00,19.90,7.53,185.00,38.70,4.82,2.20,0.12,0.29,,13.50,2464.00
02/19/2009 01:36:00,20.00,7.20,179.00,25.00,6.20,2.00,0.10,0.31,,9.30,2506.00
02/19/2009 03:12:00,18.00,7.12,175.00,23.00,6.50,2.20,0.12,0.31,,8.50,2260.00
02/19/2009 04:48:00,18.90,7.10,180.00,20.00,6.80,2.50,0.12,0.30,,8.20,2417.00
02/19/2009 06:24:00,18.50,7.17,183.00,23.00,6.50,2.10,0.09,0.29,,8.80,2316.00
02/19/2009 08:00:00,19.30,7.48,188.00,31.20,6.52,2.80,0.12,0.31,,11.80,2463.00
02/19/2009 09:36:00,19.40,7.51,189.00,16.20,7.00,2.10,0.12,0.28,,15.00,2410.00
02/19/2009 11:12:00,19.60,7.54,189.00,19.20,6.98,2.60,0.12,0.28,,7.30,2098.00
02/19/2009 12:48:00,20.30,8.34,186.00,57.10,9.91,2.20,0.05,0.26,,32.60,4163.00
02/19/2009 14:24:00,20.40,8.25,188.00,62.20,9.00,2.20,0.05,0.27,,21.00,3202.00
02/19/2009 16:00:00,21.00,8.44,184.00,54.10,9.59,1.90,0.05,0.21,,21.60,3377.00
02/19/2009 17:36:00,20.70,7.91,182.00,52.70,5.50,2.60,0.11,0.27,,14.90,3033.00
02/19/2009 19:12:00,20.50,8.17,182.00,14.90,8.92,2.90,0.10,0.22,,13.60,2370.00
02/19/2009 20:48:00,20.40,8.09,183.00,35.60,8.75,3.10,0.10,0.22,,13.10,2370.00
02/19/2009 22:24:00,20.30,8.07,182.00,16.70,8.74,2.10,0.05,0.27,,14.60,2585.00
02/20/2009 00:00:00,20.20,8.05,182.00,49.40,8.65,2.40,0.04,0.24,,18.10,2730.00
02/20/2009 01:36:00,20.10,8.08,181.00,14.80,8.67,2.00,0.04,0.24,,19.20,2783.00
02/20/2009 03:12:00,20.00,7.92,184.00,21.60,8.34,2.00,0.10,0.24,,16.20,2681.00
02/20/2009 04:48:00,19.70,7.78,187.00,37.90,8.00,2.60,0.10,0.25,,15.10,2536.00
02/20/2009 06:24:00,19.10,7.51,191.00,35.50,6.61,2.80,0.12,0.37,,11.40,2390.00
02/20/2009 08:00:00,18.70,7.40,194.00,21.60,6.17,2.00,0.05,0.35,,8.70,2318.00
02/20/2009 09:36:00,18.80,7.39,194.00,35.90,6.31,2.40,0.04,0.39,,6.50,2157.00
02/20/2009 11:12:00,18.90,7.40,194.00,27.30,6.25,2.10,0.04,0.39,,5.10,2078.00
02/20/2009 12:48:00,19.10,7.39,193.00,17.40,6.51,2.40,0.13,0.33,,5.60,2245.00
02/20/2009 14:24:00,19.20,7.39,191.00,23.20,6.31,2.40,0.14,0.37,,4.90,2027.00
02/20/2009 16:00:00,19.00,7.39,185.00,24.90,6.47,2.90,0.14,0.41,,8.20,2257.00
02/20/2009 17:36:00,19.00,7.42,184.00,26.60,6.75,2.40,0.05,0.42,,12.10,2386.00
02/20/2009 19:12:00,19.00,7.42,184.00,22.80,6.86,2.20,0.07,0.40,,11.20,2338.00
02/20/2009 20:48:00,19.00,7.42,183.00,21.00,6.75,2.20,0.04,0.38,,10.40,2401.00
